Scopus,country,2000,2001,2002,2003,2004
60023603,US,14035071800;24439383200;50260987700;54887616400;55472538200;57188911238;57189192000;57191412434;6602490320;6602509029;6603050125;6701569119;7006520864;7101865919;7102737616,50260987700;54887616400;55472538200;57188911238;57189192000;57191412434;6602509029;6701569119;7006520864;7101865919;7102737616;7402544130;9045024900,50260987700;54887616400;55472538200;57189192000;57191412434;6602509029;7006520864;7101865919;7102737616;7402544130;9045024900,24554071600;50260987700;54887616400;55472538200;57189192000;57191412434;6602509029;7006520864;7101865919;7102737616;7402544130;9045024900,54887616400;55472538200;57189192000;57191412434;6602509029;7101865919;7102737616;7402544130;9045024900
60018208,US,12765439300;13004119000;13004783400;16496150400;20433795500;24280185900;24378465900;25221492600;35606770400;35759555500;36004612500;36639713300;36798848700;54784166100;55456248300;55978019900;56875128100;6504672456;6506661617;6507210237;6507558342;6508373707;6602521822;6602665608;6603343424;6603390695;6603402381;6603447496;6603541501;6603707090;6701480203;6701536423;6701606902;6701735688;7003513982;7003856072;7004344682;7004407080;7004961691;7005306709;7005999904;7006010452;7102043962;7102926657;7201404208;7201426054;7201996554;7202928873;7402604979;7404141419;7406692204;7408608849;8349681600;9846014200,13004119000;13004783400;15049736600;15073323500;20433795500;24280185900;24378465900;25221492600;35759555500;36004548800;36798848700;55456248300;55978019900;6504672456;6506661617;6507210237;6507558342;6602521822;6602665608;6603343424;6603390695;6603447496;6603707090;6701480203;6701536423;6701606902;7004344682;7004407080;7005999904;7102043962;7102926657;7201426054;7202928873;8349681600;9846014200,13004119000;13004783400;15049736600;15073323500;20433795500;24378465900;25221492600;35759555500;36004548800;36798848700;55978019900;6504672456;6506661617;6507210237;6602002307;6602430691;6602521822;6602665608;6603343424;6603390695;6603447496;6603707090;6603965320;6701480203;6701536423;6701606902;7004344682;7004407080;7005999904;7102043962;7102926657;7201426054;8349681600;9846014200,10339780200;13004119000;13004783400;15049736600;15073323500;20433795500;24378465900;25221492600;35759555500;36004548800;36798848700;6504672456;6506661617;6507210237;6602002307;6602430691;6602521822;6602665608;6603343424;6603390695;6603447496;6603707090;6603965320;6701480203;6701536423;6701606902;7004344682;7004407080;7005999904;7102043962;7102926657;7201426054;8349681600;9278660500;9846014200,10339780200;20433795500;25221492600;36004548800;6506661617;6507210237;6602002307;6602430691;6602521822;6603343424;6603390695;6603447496;6603707090;6603965320;6701480203;6701606902;7004407080;7005999904;7102926657
60010261,US,16407970100;16428734700;24356651700;24395624200;24439078700;24540267100;35319117000;36507688400;36934190000;36983619000;56426102400;56625145400;57188690524;57203258634;57219048266;6506691272;6507075639;6507376151;6507599954;6507790434;6508325311;6602261882;6602267784;6602455704;6602620281;6602628729;6602671910;6602862528;6602981134;6603038645;6603321048;6603323032;6603369442;6603391587;6603640414;6603779935;6701746613;6701796313;7003891600;7003957641;7004392830;7005492291;7006209752;7006709061;7007157885;7101713359;7101820834;7102002683;7102197724;7102771655;7201499521;7201975424;7202673680;7403144169;7403987239;7404500217;7601598515;8234501800;8620237100,16407970100;16428734700;22234597600;23135780600;24356651700;24395624200;24439078700;24540267100;35319117000;36507688400;36934190000;36983619000;56426102400;57188690524;57219048266;6506078945;6507075639;6507376151;6507599954;6508325311;6602455704;6602620281;6602628729;6602862528;6602981134;6603038645;6603323032;6603369442;6603391587;6701746613;6701796313;7005492291;7006209752;7101820834;7102197724;7102771655;7201499521;7403144169;7403987239;7404296321;7404500217;7601598515;8234501800;8620237100,16407970100;16428734700;22234597600;23135780600;23396651200;24356651700;24395624200;24540267100;35319117000;36507688400;36983619000;56302517900;56426102400;57188690524;57219048266;6506078945;6507075639;6507376151;6507599954;6508325311;6602455704;6602620281;6602628729;6602862528;6602981134;6603038645;6603323032;6603391587;6701746613;6701796313;7005492291;7006209752;7101820834;7102197724;7201499521;7403144169;7403987239;7404296321;7404500217;7601598515;8234501800,12765985300;16407970100;16428734700;22234597600;23135780600;23396651200;24356651700;24395624200;24540267100;35319117000;36507688400;36983619000;55370112600;56302517900;56426102400;57188690524;57190647662;57219048266;6506078945;6507075639;6507376151;6507599954;6508325311;6602455704;6602620281;6602628729;6602862528;6602981134;6603038645;6603323032;6603391587;6701796313;7005492291;7006209752;7101820834;7102197724;7201499521;7403144169;7403987239;7404296321;7404500217;7601598515;8234501800,10244738400;16428734700;23396651200;24356651700;24395624200;24540267100;35319117000;36507688400;55370112600;56302517900;56426102400;57188690524;57190647662;57219048266;6506078945;6507075639;6507376151;6508325311;6602620281;6602862528;6602981134;6603323032;6603391587;6701596295;6701796313;7005492291;7006209752;7102197724;7201499521;7403144169;7601598515;8234501800;8988791000
60009408,US,57041818200;57194624908;57200242046;6505956030;6507731660;6508129928;6602288680;6602516212;6602579737;6602876877;6603076197;6603909108;6701863679;6701897200;7003772983;7004441936;7005839506;7006329535;7201789554;7201969595;7202697377;7403286263;7403705598;8544947000,28267637600;57194624908;57200242046;6505956030;6508129928;6602288680;6602516212;6602579737;6602876877;6603076197;6603909108;6701863679;6701897200;7003772983;7004441936;7005839506;7006329535;7201789554;7201969595;7202697377;7403286263;7404795298;8544947000,28267637600;57194624908;6508129928;6602288680;6602516212;6602579737;6602876877;6603076197;6603491442;6603909108;6701863679;6701897200;7003772983;7004441936;7006329535;7201789554;7201969595;7202697377;7403286263;7404795298;8544947000,28267637600;54887168900;55494251500;57194624908;6508129928;6602288680;6602516212;6602579737;6602876877;6603076197;6603491442;6603909108;6701863679;7003772983;7004441936;7006329535;7201789554;7201969595;7202697377;7403286263;7404795298;8544947000,54887168900;55437283200;55494251500;57194624908;6508129928;6602288680;6602516212;6602579737;6602876877;6603076197;6603491442;6603909108;6701863679;7003772983;7006329535;7201789554;7201969595;7202697377;7404795298;8544947000
60022502,US,16455986100;16462474600;24351265300;36817163000;37114560400;55334255300;57507303300;6505854662;6505864122;6602626401;6603004468;7006697087;7006798361;7102800986;7403256907;7403923020;7404039718;8072860400;8734342600,16455986100;16462474600;24351265300;36817163000;37114560400;55334255300;57507303300;6505854662;6506945201;6602626401;6603004468;7006697087;7006798361;7102800986;7403256907;8072860400,16455986100;24351265300;36817163000;37114560400;55334255300;57507303300;6505854662;6506945201;6602626401;6603004468;7006697087;7006798361;7102800986;8072860400,16455986100;24351265300;36817163000;37114560400;55334255300;57207772786;57507303300;6505854662;6506945201;6602626401;6603004468;7006697087;7006798361;7102800986;8072860400,16455986100;36817163000;37114560400;6505854662;6506945201;6602626401;6603004468;7006697087;7006798361
60031355,US,6603389523;7403293430,57968308300;6506977277;6603389523;7403293430,56311505500;57968308300;6506977277;6603389523;7403293430,56311505500;57968308300;6506977277;6603389523;7403293430,56311505500;57968308300;6506977277;6603389523;7403293430
60029788,US,14719060400;55460613000;55687111700;6505647770;7004304399;7004974163;7103064396;7202609957;7202949449;7401973534;7402320589;7801656836,14719060400;55460613000;55687111700;6505647770;6603129426;7004304399;7004974163;7103064396;7202609957;7202949449;7401973534;7402320589;7801656836,14719060400;55460613000;55687111700;6505647770;6603129426;7004304399;7004974163;7202609957;7202949449;7401973534;7402320589;7801656836,14719060400;55460613000;55687111700;6505647770;6602826287;6603129426;7004304399;7004974163;7202609957;7202949449;7401973534;7402320589;7801656836,14719060400;55460613000;6505647770;6603129426;7004304399;7004974163;7202609957;7202949449;7401973534;7801656836
60028664,US,11140431500;25025612900;57069506100;57191110445;6507720096;6602671759;7004816404;7102921269;7202433953,25025612900;57191110445;6602671759;7102921269,25025612900;57191110445;6602671759;7102921269,25025612900;57191110445;6602671759;7102921269,25025612900;7102921269
60112576,US,23480060400;25932071000;36118373500;36757774200;6602894845;7006112975,23480060400;36757774200;36860150500;56161048300;6602894845;7006112975,23480060400;36757774200;36860150500;56161048300;56494385300;6602894845;7006112975,23480060400;36757774200;36860150500;56161048300;56494385300;57201288421;6602894845;7006112975,23480060400;36757774200;36860150500;56161048300;56494385300;6602894845;7006112975
60021143,US,,,,18837036200,18837036200
