Scopus,country,2000,2001,2002,2003,2004
60026136,US,14034664000;35330594700;36551451100;55221267700;55251260200;56256779600;7005921156,35330594700;36551451100;36755859000;54395257100;55221267700;56256779600;6603793347;7005921156,35330594700;36551451100;36755859000;54395257100;55221267700;56256779600;6603793347;7005921156,35330594700;36551451100;36755859000;54395257100;55221267700;56256779600;6603793347;7005921156;9278688000,36551451100;55221267700;7005921156
60029680,CA,57194439404,57194439404,57194439404,57194439404,57194439404;8527544700
60013753,US,55335360100,55335360100;8148103000,55335360100;8148103000,55335360100;8148103000,55335360100;8148103000
60022908,US,57189166669;6505563196;6505953267;8434494300,57189166669;6505563196;6505953267;6602718841;8434494300,57189166669;6505563196;6505953267;6602718841;8434494300,57189166669;6505563196;6505953267;6602718841;7408523355;8434494300,57189166669;6505563196;6505953267;6602718841
60008740,US,36442448000;55449845700;55658305000;55696423200;55993143500;56246596800;57198890364,36442448000;55449845700;55658305000;55696423200;55993143500;56246596800;57198890364,36442448000;55449845700;55658305000;55696423200;55993143500;56246596800;57198890364,36442448000;55449845700;55658305000;55696423200;55993143500;56246596800;57198890364;8232486600,36442448000;55658305000;55696423200;55993143500;57198890364;8232486600
60027501,US,57194882070;6505848306;6701757730;7401671740;7403424533,57194882070;6505848306;6701757730;7401671740;7403424533,57194882070;6505848306;6701757730;7401671740;7403424533,57194882070;6505848306;6701757730;7401671740;7403424533,57194882070;6505848306;6701757730;7401671740;7403424533
60026521,US,57878661100;6505700452,56491134200;57152417600;57878661100;6505700452;7202391829,56491134200;57878661100;6505700452;7202391829,56491134200;57201189758;57878661100;6505700452;7202391829,57878661100;6505700452;7202391829
60007538,US,57192939837,57192939837;57215604492,57192939837,57192939837,36726045900
60017263,US,6504614506;6506373954;6508253530;7102218061,6504614506;6506373954;6508253530;7102218061,7102218061,16311372400,23487903700;57195254907
60020399,US,24333031800;55492133800;57196490480;7005169813;7403983745,,,,
60020420,US,14020709300;16427631800;36860440200;55492812500;55730117000;55824919400;57189674285;57190104155;57190480516;57190482193;57190901817;6505816683;6506302024;6506448923;6506495753;6508358567;6602320184;6602625105;6602658065;6602988854;6603323370;6603999148;7003352614;7003431727;7004542992;7005291734;7005486027;7005848448;7006352380;7006512019;7102336968;7103178355;7401532406,14020709300;16427631800;36860440200;55492812500;55730117000;55824919400;57189674285;57190104155;57190480516;57190482193;57190901817;6505816683;6506302024;6506448923;6506495753;6508358567;6602320184;6602625105;6602658065;6602988854;6603323370;6603999148;7003352614;7003431727;7004542992;7005291734;7005486027;7005848448;7006319973;7006352380;7006512019;7102336968;7103178355;7401532406,14020709300;16427631800;55492812500;55730117000;55824919400;57189674285;57190104155;57190480516;57190482193;57190901817;6506302024;6506448923;6506495753;6508358567;6602320184;6602625105;6602658065;6602988854;6603323370;6603999148;7003352614;7003431727;7004542992;7005291734;7005486027;7005848448;7006319973;7006352380;7006512019;7102336968,12786603500;13003792800;14020709300;14834046600;15729445600;16427631800;55492812500;55730117000;55824919400;57189674285;57190104155;57190480516;57190482193;57190901817;6506302024;6506448923;6506495753;6508358567;6602320184;6602342154;6602625105;6602658065;6602988854;6603323370;6603999148;7003352614;7003431727;7004542992;7005291734;7005486027;7005848448;7006319973;7006352380;7006512019;7102336968,12786603500;14020709300;14834046600;15729445600;16427631800;55492812500;55824919400;56307889200;57189674285;57190104155;57190480516;57190482193;57190901817;6506448923;6506495753;6508358567;6602320184;6602342154;6602625105;6602658065;6602988854;6603323370;6603999148;7003352614;7003431727;7005291734;7005486027;7005848448;7006319973;7006352380;7102336968;7102361777
60021345,US,,,,7103234106,
60018593,US,12761134300;36069047400;55847884500;7102675443,36069047400,36069047400,14521235400;36069047400,36069047400
60023735,US,15827564400;36682195200,15827564400;36682195200;48461578400,15827564400;36682195200;48461578400;56376388700,15827564400;38661339400;48461578400;56376388700,15827564400;38661339400;48461578400;56376388700
60020441,US,13611429900;14057477000;14062845600;15521058100;16427346300;16427845500;24429210200;25023583000;25023695900;35575643000;37103607000;55317214600;55479070500;55605772128;57029652700;57189398584;57190646733;57191138407;57197273922;57201320619;57533839400;6506140979;6602249244;6602338878;6602449514;6602620631;6602655375;6603009579;6603714005;7003700504;7005408190;7005873220;7006057588;7101812055;7102565006;7401992190;7404039591;7404216838;7404283323;7404538016;8400484300,15521058100;16427346300;16427845500;24429210200;25023583000;25023695900;35575643000;37103607000;55317214600;55574219427;57189398584;57190646733;57191138407;57201320619;57533839400;6506140979;6507640777;6602449514;6603009579;6603714005;7003700504;7004648191;7101812055;7102565006;8400484300,15521058100;16427346300;16427845500;24429210200;25023583000;25023695900;35575643000;35772211200;37103607000;55317214600;55574219427;57189398584;57190646733;57191138407;57201320619;6506140979;6507640777;6602449514;6603714005;7003700504;7004648191;7102565006;8400484300,15521058100;16427346300;16427845500;24429210200;25023583000;25023695900;35575643000;37103607000;55317214600;55574219427;56937538500;57189398584;57190646733;57191138407;57201320619;6505820161;6506140979;6507177093;6507640777;6602449514;6603714005;7003628064;7003700504;7004648191;7102523189;7102565006;8400484300,15521058100;16427346300;16427845500;23975203900;25023583000;25023695900;55574219427;57201320619;6506140979;6602449514;6602912479;6603714005;7003628064;7004648191;7102398704;7403397313
60017205,US,,26655976500;57189167972,26655976500;57189167962;57189167972,26655976500;57189167962;57189167972,26655976500;57189167962;57189167972
60003892,US,10040505500;13003130500;14219439900;16450618500;24396090200;24485973400;24489311200;24571124700;35228407900;35261049800;35410289900;35424515800;36006673800;36781378400;36808403000;36850655800;36854272500;55436269300;55619313501;55699184200;56225655500;56301380700;56914950800;57117252900;57123972000;57189177516;57189529535;57189678848;57190104206;57190106264;57190459684;6506519866;6506652126;6506797428;6507023494;6507224180;6507295466;6507606365;6507884241;6508053111;6602142704;6602147557;6602184203;6602184580;6602233717;6602263626;6602280415;6602368743;6602452398;6602509838;6602577325;6602605320;6602644620;6602732877;6602972824;6603040249;6603222450;6603549176;6603571782;6603684572;6603697614;6603942642;6701535150;6701579478;6701701283;7003374080;7003448781;7003596792;7003693341;7003700770;7003710563;7003908212;7003913899;7004048867;7004116421;7004278258;7004341372;7004433289;7004536124;7004767437;7005054339;7005498005;7005569137;7005837878;7005904536;7005911865;7006152415;7006176383;7006244737;7006399764;7006532740;7006737091;7006877282;7102102801;7102153681;7102341883;7102341897;7102388878;7102436932;7102636070;7102743000;7103023128;7103045145;7103207904;7201595625;7201782750;7201915389;7201932911;7202980423;7401475623;7401730732;7401897982;7401912521;7401989547;7402311303;7402685798;7403238320;7403480091;7801367131;7801428122;7801469105;7801645751;8046672900;8343643700;8417731500;8450798900;8655071900;8686352300;8843292300;8859532900;9044768600,10040505500;13003130500;14518851600;16450618500;24485973400;24489311200;35424515800;36781378400;36808403000;36850655800;36854272500;55436269300;55619313501;55699184200;55710642300;55859002700;56225655500;56301380700;57117252900;57123972000;57189177516;57189529535;57189678848;57190104206;57190106264;57190459684;57190809585;6506519866;6506652126;6507224180;6507295466;6507606365;6508053111;6602184580;6602233717;6602263626;6602452398;6602509838;6602605320;6602644620;6603222450;6603571782;6603942642;6701701283;7003710563;7003812265;7004048867;7004341372;7004536124;7005498005;7005569137;7005911865;7006152415;7006399764;7102102801;7102341883;7102388878;7102636070;7102743000;7103023128;7103045145;7201595625;7201782750;7401475623;7401730732;7401897982;7401989547;7402311303;7402685798;7403238320;7801367131;7801428122;7801469105;7801645751;8417731500;8655071900;8843292300;8859532900;9044768600,10040505500;14518851600;16450618500;24485973400;24489311200;36781378400;36808403000;36850655800;36854272500;55436269300;55619313501;55699184200;55710642300;55859002700;56225655500;57117252900;57189177516;57189529535;57189678848;57190104206;57190106264;57190459684;57190809585;6506519866;6506652126;6507224180;6507295466;6507606365;6508053111;6602184580;6602233717;6602263626;6602452398;6602605320;6602634159;6602644620;6603222450;6603571782;6603942642;6701701283;7003710563;7003812265;7004341372;7004536124;7005498005;7005569137;7005911865;7006152415;7102102801;7102341883;7102636070;7102743000;7103023128;7103045145;7201595625;7201782750;7401475623;7401730732;7401897982;7401989547;7402311303;7402685798;7403238320;7801428122;7801469105;7801645751;8417731500;8655071900;8681535800;8843292300;8859532900;9044768600,10040505500;14518851600;16450618500;22937492600;24479929100;24485973400;24489311200;36781378400;36808403000;36850655800;36854272500;55619313501;55699184200;55710642300;55859002700;56225655500;57117252900;57189177516;57189529535;57189678848;57190104206;57190106264;57190459684;57190809585;57214533237;6506519866;6506652126;6507224180;6507295466;6507606365;6508053111;6602184580;6602233717;6602263626;6602452398;6602605320;6602634159;6602644620;6603222450;6603571782;6603942642;6701701283;7003710563;7003812265;7004341372;7004536124;7005498005;7005569137;7005911865;7006152415;7102102801;7102341883;7102636070;7102743000;7103023128;7103045145;7103076303;7201595625;7201782750;7202607005;7401475623;7401730732;7401897982;7401989547;7402311303;7402685798;7403238320;7406660696;7801428122;7801469105;7801645751;8417731500;8655071900;8681535800;8843292300;8859532900,10040505500;23990983400;36781378400;36808403000;36854272500;55619313501;55710642300;55842069100;57189678848;57190104206;57190106264;57190459684;6507224180;6602184580;6602233717;6602263626;6602452398;6602605320;6602634159;6602827871;6603222450;6603571782;6603942642;6701701283;7003710563;7003812265;7004341372;7006152415;7101782901;7102102801;7102341883;7102636070;7103023128;7103045145;7201595625;7201782750;7401475623;7401989547;7404284571;7801428122;8541919400;8681535800;8843292300;8859532900
60032507,US,14028283100;14064895200;25023712100;53866861900;55234186200;55728401600;56122021600;56690137100;57194847464;6602316337;6701744176;7401847419,14064895200;25023712100;53866861900;55234186200;55728401600;56690137100;57194847464;6602316337;7401847419;8126067800,14064895200;25023712100;53866861900;55234186200;55728401600;56690137100;57194847464;6602316337;7401847419;8126067800,14064895200;25023712100;53866861900;55234186200;55728401600;56227951800;56690137100;57194847464;6602316337;7401847419;8126067800,14064895200;25023712100;55728401600;57194847464;6602316337;7202524423;8126067800
60001931,US,57199181582;57201724264;7006048331;7006276031,57201724264;7006276031,7006276031,57215734862;7102198791,7102198791
60027635,US,23669056600;24328878700,23669056600;24328878700;7006030896,23669056600;24328878700;7006030896,23669056600;24328878700;7006030896,23669056600;24328878700;7006030896
60017130,US,14060911800;56312837000;57012795500;6507216352;7003339548;7401996769;7403531101,14060911800;35574718600;56312837000;57012795500;6507216352;7403531101,14060911800;35574718600;57012795500;6507216352;7403531101,35574718600;57012795500;6507216352;7403531101,57012795500;7403531101
60018510,CA,14829310600;56538026700;6504666526,14829310600;57191047141;6504666526,14829310600;57191047141;6504666526,14829310600;57191047141;6504666526,14829310600;57579332000;6504666526;6506979344;6507002847
60032166,US,7003831645;7006663798,,,,
60019507,GR,35769538800;55403240800;8314558700;9433770900;9634254900,35769538800;55403240800;8314558700;9433770900;9634254900,16302393700;55403240800;6507047544;6507478593;6603194827;8314558700;9433770900;9634254900,,
60011754,US,15126727900;24360733700;24389447100;24792868700;25024186900;25025141100;35380567800;35791509900;55424848700;55458781200;56679306500;57053642200;57084450600;57195084989;57216593202;6504367656;6507538104;6508187782;6508287427;6602621114;6602737274;6602795998;6603260541;6603968069;6701456441;7003954373;7003961194;7004131355;7004231765;7004517457;7004617135;7004629807;7005307355;7005483443;7005568304;7005597558;7005806217;7006408647;7006488321;7006934585;7101912981;7102000522;7102061798;7102133420;7201537610;7202234728;7202279978;7202613369;7401724538;7403446837;7403485061;7408057367;7801359545;9278769300,15126727900;24389447100;24792868700;25024186900;25025141100;35380567800;35791509900;55458781200;57053642200;57084450600;6504367656;6508187782;6508287427;6602621114;6602737274;6603260541;6603968069;6701456441;7003954373;7003961194;7004231765;7005483443;7005568304;7006934585;7102000522;7102133420;7202234728;7202279978;7401724538;7403446837;7408057367;7801359545;9278769300,24389447100;24792868700;25024186900;25025141100;35380567800;35791509900;55458781200;57053642200;57084450600;6504367656;6508187782;6508287427;6602211743;6602621114;6602737274;6603260541;6603968069;6701456441;7003961194;7004231765;7005483443;7006934585;7102000522;7102133420;7202234728;7202279978;7401724538;7403446837;7408057367;7801359545;9278769300,24389447100;24792868700;25024186900;25025141100;35380567800;35791509900;55458781200;57053642200;57084450600;6504367656;6508187782;6508287427;6602211743;6602621114;6602737274;6603260541;6603968069;6701345882;6701456441;7003961194;7004231765;7005483443;7006934585;7102000522;7102133420;7202279978;7401724538;7403446837;7408057367;7801359545;9278769300,10341039800;23007297000;25024186900;25025141100;35380567800;35791509900;57053642200;57202214573;6508187782;6602211743;6602621114;6602737274;6603968069;7003961194;7004231765;7005483443;7102000522;7102133420;7202279978;7401724538;7403446837;7801359545
60029323,US,24460997600;25023003000;56444213400;57215734650;6503920401;6506811907;6506933877;6508144077;7004080680;7006298268,25023003000;56444213400;57215734650;6503920401;6506933877;6508144077;7004080680;7006298268,25023003000;57215734650;6503920401;6506933877;6508144077;7006298268,25023003000;55426009600;57215734650;6503920401;6505829537;6506933877;6507779130;6508144077;7006298268;7201708373;7401513153;8325167200,55697112100;7006298268
60012827,US,,24460401800;57203109651,24460401800;57203109651,24460401800;57203109651,24460401800;57203109651
60014801,US,14066107600;16063539700;56120306900;6508223769;6602256387;7006172305,14066107600;16063539700;56120306900;6508223769;6602256387;7006172305,14066107600;16063539700;56120306900;6508223769;6602256387;7006172305,14066107600;16063539700;56120306900;6508223769;6602256387;7006172305,16063539700;6508223769;6602256387;7006172305
60101215,US,,,36518128100,36518128100,
60019081,US,24303112100;57196359012;7201656187,24303112100;57196359012;7201656187,24303112100;57196359012;7201656187,24303112100;57196359012;7201656187,57196359012;7201656187
60073904,AU,24347907500;25029350100;6506645058;7202573761,,,,
60008950,AU,12799351300;24371054500;6603921116;7103010689;7202106196;7202970064;7402946287;8254998300,12799351300;24371054500;55885477900;6603921116;7402946287;8254998300,12799351300;24371054500;55885477900;7402946287;8254998300,12799351300;16417084000;24371054500;37960902000;45561169200;55484682700;55885477900;57156846900;7004357858;7402946287;8254998300,
60025588,US,7102932315,7102932315,7102932315,7102932315,7102932315
60007996,NO,6506356134;7201465416,6506356134;7201465416,6506356134;7201465416,,
60028244,US,16486968000;17435679300;24543797700;35790914600;36913633000;55432664300;55463771700;55476089400;56422430500;57012938500;57193645645;57203174732;57216940995;57239676500;6505830279;6506236907;6506405190;6507133139;6507503510;6601983915;6603934583;6604039039;7003407422;7003868031;7005257084;7006886818;7101607928;7101914019;7103037737;7201720683;7201833735;7201992376;7202078762;7402450961;7403458075;8387225300;8394148500;8583309900,16486968000;17435679300;24543797700;35790914600;36913633000;55319591800;55463771700;56422430500;57012938500;57193645645;57216940995;57239676500;6506236907;6507133139;6507503510;6601983915;7003868031;7005257084;7006886818;7101607928;7201720683;7201833735;7201992376;7402450961;7403458075;8387225300;8394148500;8583309900,16486968000;17435679300;24543797700;35790914600;36913633000;55463771700;56422430500;57012938500;57193645645;57216940995;57239676500;6506236907;6507133139;6507503510;6601983915;7003868031;7005257084;7006886818;7101607928;7201720683;7201833735;7201992376;7402450961;7403458075;8387225300;8394148500;8583309900,16486968000;17435679300;24543797700;35790914600;36913633000;55463771700;56422430500;57012938500;57193645645;57216940995;57239676500;6506236907;6507133139;6507503510;6601983915;7003868031;7005257084;7006886818;7101607928;7201720683;7201833735;7201992376;7402450961;7403458075;8387225300;8394148500;8583309900,16486968000;24543797700;35790914600;36913633000;51664665100;55463771700;57216940995;6506236907;6507133139;6507503510;6601983915;7003868031;7006886818;7101607928;7201720683;7201833735;7201992376;7402450961;8387225300;8394148500;8583309900
60025779,GB,12788790000;6506174280;6506523627;6602146395;6602554448;6602893232;7102772783,6506174280;6506523627;6602146395,6506174280;6506523627;6602146395,55728536700;55993541900;57208464443;6506174280;6506523627;6602146395,
60001303,US,16408102300;22985827700;24311248100;24343480200;35724885300;57189169133;6506582020;7006363482;7102548404,16408102300;22985827700;24311248100;24343480200;35724885300;57189169133;6506582020;7006363482;7102548404,16408102300;24311248100;24343480200;35724885300;57189169133;6506582020;7006363482;7102548404,16408102300;24311248100;24343480200;35724885300;57189169133;6506582020;7006363482;7101774272;7102548404,16408102300;57189169133;7006363482;7102548404
60011278,US,11239924600;12764738200;14521639000;16300827200;16411179300;24081072900;24334298100;24404712700;24430006000;24502218600;24535170900;24830951300;34872349500;35560431100;36784998400;36797068900;37053715200;55419936000;55447735600;55711548600;55975158600;56174134500;56451482600;56995184900;57190108796;57190729445;57198832846;57199096372;57202530261;57214276238;6505912012;6506537240;6506537535;6506896401;6602160375;6602438020;6602599513;6602665493;6701835765;7005871685;7006087556;7101850524;7103281258;7103378456;7201827038;7403036078;7403065969;7403297495;7403339080;7404150010;7801474418;7801652466;8248370500;8649185000,11239924600;12764738200;16411179300;24081072900;24334298100;24404712700;24430006000;24535170900;34872349500;36797068900;55419936000;55447735600;56174134500;56451482600;57190108796;57198832846;57199096372;57214276238;6505912012;6602665493;6602834912;6603021854;6701835765;7103281258;7103378456;7402663131;7403036078;8248370500;8649185000,11239924600;12764738200;16411179300;24081072900;24334298100;24404712700;24430006000;24535170900;34872349500;36797068900;55419936000;55447735600;56174134500;56451482600;57190108796;57198832846;57199096372;57214276238;6505912012;6506205138;6602665493;6602834912;6603021854;6701835765;7103281258;7103378456;7402663131;7403036078;8248370500;8649185000,11239924600;12764738200;16411179300;24081072900;24334298100;24404712700;24430006000;24535170900;34872349500;36797068900;55419936000;55447735600;56174134500;56451482600;57190108796;57198832846;57199096372;57214276238;6505912012;6506205138;6602665493;6602834912;6603021854;6701835765;7005375450;7005781888;7103181861;7103281258;7103378456;7402663131;7403036078;8248370500;8649185000,11239924600;12764738200;16411179300;24081072900;24430006000;24535170900;34872349500;55419936000;56174134500;56451482600;57190108796;6506205138;6507885586;6602834912;6701835765;7005375450;7103281258;7103378456;8248370500
60011684,US,57199048067,57199048067,55425159300;57199048067,55425159300;57199048067,55425159300;57199048067
60004081,US,25122274500;35618541700;37761366500;41261044400;54956585800;55472865800;56525031900;57200250007;57201199417;6507899076;7003347252;7202133963,25122274500;37761366500;54956585800;56525031900;57200250007;57201199417;6507899076;7202133963,25122274500;37761366500;54956585800;56525031900;57200250007;57201199417;6507899076;7202133963,25122274500;37761366500;54396506100;54956585800;55166852200;56525031900;57200250007;57201199417;6507899076;7006628693;7202133963,25122274500;57201199417;7006628693
60000602,US,14060368400;15122346800;16437946500;6507320756,14060368400;15122346800;16437946500,14060368400;15122346800;16437946500,14060368400;15122346800;16437946500,15122346800;16437946500
60028332,US,57215763354;6507261576,56933436800;57215763354,56933436800;57215763354,56933436800;57215763354,56933436800;57215763354
60020273,US,15821497300;24553216600;25030802700;36744537200;36784580700;55031259000;55709597300;57190103094;57196887302;57214845186;57266155200;6505754212;6506375163;6507737091;6602988306;6603168578;6603207919;6603212658;6603216170;6603291645;6603737478;6701368935;6701413634;7004167652;7004192969;7004253163;7005116868;7005220122;7005670009;7006178548;7006182646;7101722661;7102045500;7102786103;7402091679;7801601962;7801616312;8233706000,25030802700;36744537200;36784580700;55031259000;55709597300;55723371900;57190103094;57196887302;57266155200;6505754212;6507737091;6603168578;6603212658;6603216170;6603291645;6701368935;7004192969;7004653533;7005116868;7005220122;7006178548;7006182646;7101722661;7102045500;7201532199;7402091679;7801601962;8233706000,25030802700;36744537200;55031259000;55709597300;55723371900;57266155200;6505754212;6507737091;6603168578;6603212658;6603291645;6701368935;6701392653;7004653533;7005116868;7005220122;7006178548;7006182646;7101722661;7102045500;7402091679;7801601962;8233706000,25030802700;36195290200;36744537200;55031259000;55709597300;55723371900;55911122500;56171370000;57266155200;6505754212;6507737091;6603168578;6603212658;6603291645;6603498387;6701368935;6701392653;7004653533;7005220122;7006178548;7006182646;7101722661;7102045500;7402091679;7801601962;8233706000;8572923500,36744537200;55031259000;55709597300;55911122500;56171370000;6505754212;6507737091;6603168578;6603212658;6603291645;6603498387;6701368935;6701392653;7004653533;7005220122;7006182646;7101722661;7102045500;7402091679;7801601962;8233706000;8572923500;9640488800
60017758,US,56159332000;57262622000,57262622000,57262622000,57262622000,
60000153,CA,7202020846,,,,
60019348,US,23005169600;24314899700;25023289800;35800341200;56874992300;57199150408;7404042813,23005169600;24314899700;25023289800;35800341200;56874992300;57199150408;6504723327;7404042813,23005169600;24314899700;25023289800;35800341200;56874992300;57199150408;6504723327;7404042813,16023430700;23005169600;24314899700;25023289800;35800341200;56874992300;57199150408;6504723327;7404042813;7801681512,16023430700;23005169600;25023289800;55174716100;7404042813
60001456,US,14066354900;16413505600;16423860500;24379263400;35602842900;55704522800;56914922900;57191046335;57192945876;57196678489;57200242113;7005398111;7006131825;7103394265;7801372565;8702292200,14066354900;16413505600;16423860500;24379263400;35602842900;55704522800;56085045800;56914922900;57191046335;57192945876;57196678489;57200242113;7005398111;7006131825;7103394265;7801372565;8702292200;9840260000,16413505600;16423860500;24379263400;35602842900;55704522800;56085045800;56914922900;57191046335;57192945876;57196678489;57200242113;7005398111;7006131825;7102029870;7103394265;7801372565;8702292200;9840260000,16413505600;16423860500;24379263400;35602842900;55704522800;56085045800;56914922900;57191046335;57192945876;57196678489;57200242113;7005398111;7006131825;7102029870;7103394265;7801372565;8702292200;9278671900;9840260000,16413505600;16423860500;24379263400;55704522800;56085045800;56914922900;57191046335;57200242113;7006131825;7102029870;7801372565;8702292200
60031602,AU,22957406300;22982398700;24392514700;36600441000;37027902000;55460628800;57122385500;6602101781;7004198554;7402130071,22957368200;22957406300;22982398700;36600441000;57122385500;7004198554,22957406300;22982398700,,
60031117,US,12763628500;13004980400;13402687300;18434916400;24568388100;24783902100;35813176500;35900546200;36125420400;36875718300;55484028400;55664857400;55952373900;56876003500;56896032400;57036341400;57168301400;57189255724;57191402445;57200735891;6505986694;6506670288;6602277017;6602306535;6602500845;6602761153;6602791798;6602794409;6602829966;6603004560;6603056944;6603118119;6603176728;6603232116;6603288004;6603357192;6603659971;6603789846;7003673460;7004129985;7004218276;7004252051;7004496930;7005252181;7005686587;7006397771;7006424769;7101960604;7102391897;7102856992;7201734847;7201780969;7202195938;7202454998;7202550831;7403246104;7403358368;7403737869;7404625278;7410006643;7801618660;8307984400;8697034100,12763628500;13402687300;18434916400;24568388100;24783902100;35813176500;35900546200;36125420400;36875718300;55952373900;56184390400;56876003500;56896032400;57189255724;57191402445;57200735891;6506962565;6602306535;6602791798;6602794409;6602829966;6603118119;6603176728;6603288004;6603357192;6603659971;6603789846;7003673460;7004218276;7004496930;7005252181;7005686587;7006424769;7102391897;7102856992;7201734847;7201780969;7202195938;7202454998;7202550831;7403358368;7403737869;7410006643;8307984400;8697034100,12763628500;24568388100;24783902100;34769762700;35900546200;36125420400;36875718300;55952373900;56184390400;56876003500;56896032400;57189255724;57191402445;57200735891;6506962565;6602306535;6602791798;6602794409;6602829966;6603118119;6603176728;6603192839;6603288004;6603357192;6603659971;6603789846;6603889672;6701621055;7003673460;7004218276;7004496930;7005252181;7005686587;7006424769;7102391897;7102856992;7201734847;7201780969;7202195938;7202454998;7202550831;7403737869;7410006643;8307984400;8697034100,12763628500;24568388100;24783902100;34769762700;35900546200;36125420400;36875718300;55185010100;55952373900;56184390400;56876003500;56896032400;57189255724;57191402445;57200735891;6506962565;6602306535;6602794409;6602829966;6603118119;6603176728;6603192839;6603288004;6603357192;6603659971;6603668801;6603789846;6603889672;6701621055;6701885894;7003673460;7004496930;7005252181;7005686587;7006424769;7006581715;7102856992;7201734847;7201780969;7202195938;7202454998;7202550831;7403737869;7410006643;8307984400;8697034100;8907534000,24568388100;34769762700;35900546200;36875718300;55185010100;55952373900;56876003500;56896032400;57189255724;57191402445;6506167462;6506962565;6602306535;6602794409;6602829966;6603176728;6603192839;6603288004;6603659971;6603668801;6603889672;6701621055;6701885894;7003673460;7004496930;7005127675;7005252181;7005686587;7006424769;7201780969;7202195938;7202454998;7202550831;7402278594;8307984400
60019674,US,10046162800;14054347200;15825206400;16408763300;16645338400;17345832300;24317720600;24363248100;26034656000;36014138700;36791871500;36855902100;36927440500;37106973100;55439615500;55448884900;55464917500;55500663200;55722901900;55740154300;56120260200;56260411400;56402020700;56633265900;57191930526;57202539237;6506102163;6506297097;6506509802;6506800823;6506976131;6507218998;6602144638;6602186334;6602265201;6602281565;6602371288;6602681812;6602930341;6603086232;6603262004;6603268524;6603381646;6603569925;6603857401;6701709924;6701743138;6701924291;7003314443;7003343631;7004123053;7004365245;7004714197;7005103796;7005128433;7005552554;7006042150;7006182513;7006365709;7006462945;7006686353;7102280556;7102719026;7103036986;7103203009;7103234818;7201756153;7202208708;7202610689;7202843634;7202859471;7202884231;7202998173;7401985192;7402476546;7402925175;7402926435;7404220443;7404338428;8104429100;9747556800,14054347200;16408763300;16645338400;17345832300;24317720600;24363248100;26034656000;36927440500;52864678900;55439615500;55464917500;55722901900;55740154300;56591905400;56633265900;57202539237;6506102163;6506297097;6506509802;6506976131;6507218998;6602265201;6602281565;6602681812;6602930341;6603249168;6603262004;6603857401;6701709924;6701743138;7003314443;7003343631;7004365245;7004714197;7005128433;7006182513;7006462945;7102280556;7102719026;7103036986;7103234818;7202610689;7202884231;7202998173;7401985192;7402925175;7404338428;8104429100,16408763300;16645338400;17345832300;24317720600;24363248100;26034656000;36927440500;52864678900;55439615500;55464917500;55722901900;55740154300;56591905400;56633265900;57202539237;6506102163;6506297097;6506509802;6506976131;6507218998;6602265201;6602930341;6603249168;6603262004;6603857401;6701709924;6701743138;7003314443;7004365245;7004714197;7005128433;7006182513;7006462945;7102280556;7103234818;7202884231;7401985192;7402925175;8104429100,11640168300;16406081200;16408763300;16645338400;17345832300;24317720600;24363248100;26034656000;36927440500;52864678900;55419959100;55439615500;55464917500;55722901900;55740154300;56246005500;56591905400;56633265900;57202539237;6506102163;6506297097;6506509802;6506976131;6507218998;6507914219;6602265201;6602404060;6602930341;6603249168;6603262004;6603857401;6701709924;6701741318;6701743138;7003314443;7003673566;7004365245;7004714197;7005128433;7006182513;7006462945;7101859631;7102280556;7102396845;7103234818;7202884231;7401985192;7402925175;7404499759;8104429100,11640168300;12243428700;16406081200;16408763300;16645338400;24317720600;26034656000;55419959100;55464917500;55722901900;55740154300;56633265900;57202539237;6506102163;6506297097;6506509802;6506976131;6507218998;6602265201;6602404060;6603249168;6603262004;6603857401;6701709924;6701743138;7003314443;7003673566;7004365245;7004714197;7006462945;7101859631;7103234818;7202884231;7401985192;7402925175;7404499759;8104429100
60029336,GB,6602254759;7102848850,,,56232027000,
60018475,US,10142664100;24290838300;24378488300;26661197100;36846717900;36979103200;55451407400;57189401466;57189557855;6506048981;6507135498;6508196341;6602266402;6603496433;6701501362;7003876721;7003927308;7006063372;7006451805;7101620176;7101932409;7102324651;7102431700;7102830549;7202055400;7202444375;7202537446;7202714641;7403110471;7409320960;8559943100,10142664100;24290838300;24378488300;26661197100;36187947200;37004855700;55451407400;57189401466;6506048981;6507135498;6508196341;6602266402;6603496433;6701501362;7003876721;7006063372;7101620176;7101932409;7102324651;7102830549;7202537446;7202714641;7409320960;8559943100,10142664100;24290838300;24378488300;26661197100;36187947200;37004855700;55451407400;57189401466;6506048981;6507135498;6508196341;6602266402;6603496433;6701501362;7003876721;7006063372;7101620176;7101932409;7102324651;7102830549;7202537446;7202714641;7409320960;8559943100,10142664100;14048115700;24290838300;24378488300;26661197100;36187947200;37004855700;55451407400;55973598400;57189401466;6506048981;6506890502;6507135498;6508196341;6602266402;6603496433;6701501362;7003876721;7006063372;7101620176;7101932409;7102324651;7102830549;7202537446;7202714641;7409320960;8559943100,24290838300;26661197100;36187947200;57189401466;6506048981;6506890502;6602266402;7003876721;7006063372;7101932409;7102324651;7102830549;7202714641;7409320960;8559943100
