institution,2000,2001,2002,2003,2004
Fordham University,36,36,38,36,26
Fort Hays State University,8,7,6,7,6
Fort Valley State University,1,2,2,1,1
Francis Marion University,5,4,3,6,5
Free University Amsterdam,2,1,1,1,0
Frostburg State University,15,9,8,9,9
Furman University,8,8,9,10,8
Gallaudet University,1,2,2,2,2
Gannon University,2,2,2,0,0
Gardner-Webb University,0,0,1,1,1
George Fox University,2,2,2,2,1
George Mason University,29,28,28,36,32
George Washington University,96,44,39,38,34
Georgetown University,44,42,40,43,32
Georgia College & State University,12,9,7,8,6
Georgia Institute of Technology,27,17,19,24,17
Georgia Southern University,30,19,18,24,16
Georgia Southwestern State University,1,1,1,2,0
Georgia State University,122,69,72,71,53
Golden Gate University,4,1,1,1,1
Gonzaga University,10,11,10,10,5
Governors State University,10,2,2,2,2
Grambling State University,4,1,1,0,0
Grand Valley State University,32,16,16,17,11
Griffith University,19,13,13,17,0
HEC Montreal,12,3,3,4,0
HEC Paris,6,5,5,5,0
Hamline University,3,3,3,3,3
Hampton University,5,4,3,2,1
Hannibal–LaGrange University,0,1,1,1,0
Hardin-Simmons University,3,2,2,1,1
Harding University,1,1,1,1,0
Harvard University,67,84,79,80,63
Hawaii Pacific University,6,5,4,4,5
Hebrew University of Jerusalem,16,14,14,14,13
Helsinki School of Economics,4,4,4,5,0
Henderson State University,3,2,2,2,0
High Point University,2,2,2,2,0
Hitotsubashi University,1,1,1,1,0
Hofstra University,36,22,16,17,14
Hong Kong Polytechnic University,16,31,27,35,0
Hong Kong University of Science and Technology,37,41,38,20,0
Houston Baptist University,1,2,1,0,0
Howard University,28,30,25,26,22
Humboldt State University,7,5,5,5,5
INSEAD,42,21,20,21,7
Idaho State University,25,14,14,14,11
Illinois Institute of Technology,12,4,3,2,3
Illinois State University,51,38,37,37,26
Illinois Wesleyan University,7,7,8,7,8
Indiana State University,20,17,17,17,13
Indiana University,80,63,64,64,45
Indiana University Kokomo,5,4,4,4,4
Indiana University Northwest,10,6,6,7,4
Indiana University South Bend,17,11,9,9,5
Indiana University Southeast,11,11,11,11,8
Indiana University of Pennsylvania,22,14,13,15,11
Indiana University-Purdue University Indianapolis,36,32,30,33,27
Instituto Tecnológico Autónomo de México,1,0,0,0,0
International University of Japan,4,0,0,0,0
Iowa State University,50,42,36,40,29
Jackson State University,10,6,6,10,2
Jacksonville State University,11,6,7,9,7
Jacksonville University,7,4,4,5,5
James Madison University,38,27,25,27,22
John Carroll University,19,20,20,22,12
Johns Hopkins University,11,11,11,13,11
KAIST,1,0,0,0,0
Kansas State University,35,26,22,22,17
Kean University,5,4,4,4,3
Kennesaw State University,20,23,20,18,11
Kent State University,39,21,18,20,15
Kentucky State University,1,1,1,1,0
Kettering University,2,1,1,1,0
King Fahd University of Petroleum & Minerals,7,6,6,10,0
Kookmin University,3,3,3,0,0
Korea University,2,2,2,6,0
Kutztown University,5,5,5,6,6
Kuwait University,4,4,4,0,0
Kyungpook National University,2,2,2,2,0
La Sierra University,1,1,1,1,1
La Trobe University,3,3,2,3,0
LaSalle University,14,13,13,13,8
Lake Superior State University,3,3,2,3,2
Lakehead University,5,2,2,3,2
Lamar University,10,9,8,8,6
Lancaster University,22,21,16,16,14
Lander University,4,1,2,5,2
Laurentian University,13,3,3,4,0
Lawrence Technological University,3,2,2,2,1
Lawrence University,0,0,0,4,3
Lehigh University,35,30,30,31,23
Liberty University,2,1,1,2,0
Lincoln University,2,2,2,2,1
Lincoln University (New Zealand),3,0,0,0,0
Lingnan University,1,1,1,6,0
Lipscomb University,5,2,2,3,1
Lock Haven University,2,2,1,1,1
London Business School,39,14,18,10,23
London Metropolitan University,2,1,1,3,0
London School of Economics and Political Science,18,22,13,0,0
Long Island University,22,12,13,18,13
Longwood University,7,3,3,3,4
Loughborough University,2,2,2,2,0
Louisiana State University,64,38,31,35,22
"Louisiana State University, Shrevenport",9,7,5,5,5
Louisiana Tech University,17,14,12,12,9
Loyola Marymount University,24,15,15,17,12
Loyola University Chicago,40,22,21,21,16
Loyola University Maryland,16,17,15,15,15
Loyola University New Orleans,18,8,8,10,7
Maastricht University,11,14,12,14,3
Macquarie University,8,12,12,16,7
Madonna University,1,1,1,1,0
Maharishi University of Management,3,0,0,0,0
Mansfield University of Pennsylvania,2,2,2,2,2
Marquette University,20,19,17,19,17
Marshall University,26,19,18,19,10
Marymount University,3,4,5,4,4
Maryville University,1,1,1,1,0
Marywood University,1,1,1,1,0
Massachusetts Institute of Technology,101,50,47,53,43
Massey University,12,9,9,4,17
McGill University,49,14,16,15,12
McMaster University,26,6,5,8,0
McNeese State University,8,8,6,7,7
Memorial University of Newfoundland,22,2,2,2,3
Mercer University at Atlanta,13,7,7,7,4
Mercer University at Macon,5,5,5,6,3
Metropolitan State University,1,0,0,0,0
Metropolitan State University of Denver,12,11,12,14,9
Miami University,56,43,42,44,31
Michigan State University,77,62,64,74,51
Michigan Technological University,18,12,11,11,10
Middle Tennessee State University,39,30,29,33,22
Midwestern State University,6,3,3,4,4
Millersville University,8,8,7,8,6
Millikin University,1,1,1,1,2
Minnesota State University Moorhead,7,7,7,9,6
"Minnesota State University, Mankato",26,12,12,14,9
Minot State University,2,4,3,2,0
Mississippi State University,32,20,18,20,16
Mississippi Valley State University,1,1,1,1,1
Missouri Southern State University,3,2,1,2,2
Missouri State University,40,27,25,26,14
Missouri University of Science and Technology,2,2,2,7,6
Missouri Western State University,8,7,7,7,6
Monash University,17,18,15,12,0
Monmouth University,13,8,7,10,7
Montana State University,26,20,19,25,20
Montana State University Billings,4,2,2,2,2
Montclair State University,23,14,15,18,15
Morehead State University,4,5,4,5,5
Morgan State University,7,8,8,9,6
Mount Allison University,3,1,2,2,2
Mount Saint Vincent University,1,0,0,0,0
Mount St. Mary's University,0,2,2,3,3
Murdoch University,1,1,1,1,0
Murray State University,15,10,11,10,8
Nanyang Technological University,6,6,30,36,24
Napier University,2,1,1,1,0
National Chengchi University,13,13,0,0,0
National Taiwan University,36,13,13,15,0
National University of Singapore,23,9,8,0,0
Nebraska Wesleyan University,2,2,2,2,1
New Jersey City University,6,5,5,5,4
New Jersey Institute of Technology,3,3,1,1,1
New Mexico Highlands University,1,1,1,1,1
New Mexico State University,33,17,17,17,14
New York Institute of Technology,5,4,4,4,4
New York University,157,124,119,113,88
Niagara University,12,9,9,9,6
Nicholls State University,12,11,10,12,10
Norfolk State University,7,6,5,4,4
North Carolina A&T State University,30,18,17,18,12
North Carolina Central University,11,9,9,11,5
North Carolina State University,63,40,35,39,27
North Dakota State University,14,7,5,6,4
Northeastern Illinois University,10,6,6,6,4
Northeastern State University,8,5,5,5,5
Northeastern University,36,33,34,34,25
Northern Arizona University,22,19,20,21,12
Northern Illinois University,49,33,32,31,17
Northern Kentucky University,13,6,6,3,2
Northern Michigan University,8,7,7,8,4
Northern State University,4,3,3,3,2
Northwest Missouri State University,4,5,5,5,3
Northwestern State University of Louisiana,6,3,2,2,2
Northwestern University,96,69,64,70,56
Norwegian School of Economics,4,1,1,1,0
Nova Southeastern University,4,4,3,3,0
Oakland University,38,18,15,17,13
Oglethorpe University,3,3,2,3,1
Ohio Northern University,3,3,2,2,2
Ohio State University,92,64,57,63,47
Ohio University,45,25,21,24,5
Ohio Wesleyan University,4,3,3,3,3
Oklahoma Baptist University,1,0,0,0,0
Oklahoma Christian University,1,0,0,0,0
