institution,2000,2001,2002,2003,2004
"University of Wisconsin, Parkside",14,10,7,8,6
"University of Wisconsin, Platteville",2,2,2,2,0
"University of Wisconsin, River Falls",13,9,9,8,7
"University of Wisconsin, Stevens Point",4,4,4,4,3
"University of Wisconsin, Superior",1,1,0,0,0
"University of Wisconsin, Whitewater",38,19,16,17,13
University of Wollongong,14,14,14,18,5
University of Wyoming,25,18,16,17,10
University of the District of Columbia,1,1,1,1,1
University of the Incarnate Word,1,1,0,1,0
University of the Pacific,19,11,11,11,9
University of the South,3,3,3,6,4
University of the West Indies,2,2,2,2,0
Université du Québec en Outaouais,3,2,1,1,0
Utah State University,28,33,28,29,22
Valdosta State University,18,11,11,11,8
Valparaiso University,13,6,5,5,5
Vanderbilt University,45,36,37,42,35
Victoria University,4,4,4,4,5
Victoria University of Wellington,21,14,14,15,8
Villanova University,37,36,33,34,24
Virginia Commonwealth University,70,35,35,35,23
Virginia Polytechnic Institute and State University,97,61,54,53,30
Virginia State University,9,7,7,6,6
Virginia Union University,1,1,1,1,0
Wake Forest University,49,31,31,32,23
Washburn University,13,10,8,14,10
Washington & Lee University,15,13,11,12,9
Washington State University,54,35,34,35,19
Washington University in St. Louis,59,44,41,43,33
Wayne State University,24,23,21,22,20
Weber State University,19,16,14,15,9
Webster University,2,4,5,5,5
Wesleyan University,12,13,12,13,10
West Chester University,9,4,4,4,2
West Texas A&M University,6,6,7,8,7
West Virginia State University,0,0,0,1,1
West Virginia University,45,28,26,30,19
West Virginia University Institute of Technology,1,1,1,1,0
Western Carolina University,17,11,7,7,5
Western Colorado University,3,2,2,2,2
Western Connecticut State University,12,7,7,8,7
Western Illinois University,30,19,18,19,11
Western Kentucky University,26,21,21,22,17
Western Michigan University,44,35,34,36,28
Western New Mexico University,0,0,0,1,0
Western Oregon University,3,3,3,3,3
Western Sydney University,2,1,1,1,0
Western Washington University,27,22,22,24,17
Wichita State University,24,23,15,15,13
Widener University,22,14,14,15,10
Wilfrid Laurier University,32,17,16,18,10
Wilkes University,5,3,2,1,1
Willamette University,14,10,9,10,8
William Paterson University of New Jersey,2,4,6,6,6
Wingate University,0,1,0,1,1
Winona State University,7,5,5,7,2
Winston-Salem State University,4,4,3,5,4
Winthrop University,14,8,6,9,6
Wittenberg University,3,4,4,4,4
Woodbury University,2,2,2,2,2
Worcester Polytechnic Institute,12,3,3,3,0
Wright State University,21,21,21,21,14
Xavier University,33,21,18,21,14
Xavier University of Louisiana,0,0,0,0,1
Yale University,45,45,45,61,40
Yeshiva University,4,4,4,3,3
Yonsei University,3,0,0,0,0
York University,53,22,19,23,12
Youngstown State University,17,15,16,16,8
Yuan Ze University,9,0,0,0,0
