stu_scopus,aff_id,change_year
6504281427,60028726,2005
6504303084,60029000,2009
6504485462,60016293,2004
6504775955,60001517,2007
6504827322,60112571,2004
6506025808,60023612,2003
6506136691,60138938,2004
6506198861,60005880,2010
6507052223,60069393,2013
6507123663,60098792,2003
6507139600,60010534,2003
6507470507,60106157,2009
6507619031,60023977,2009
6507637866,60016293,2008
6507662526,60006658,2009
6507810727,60008134,2005
6507821537,102072109,2004
6507949937,60030730,2005
6601990980,105491850,2007
6602257950,60012471,2003
6602383706,60013830,2007
6603753606,60007869,2003
6603968921,60010237,2009
6701834983,60021023,2002
7004413099,60012476,2007
7005074281,60027567,2006
7005701484,101823224,2003
7101786189,60032903,2008
7101923987,100365550,2003
7102494643,60007448,2005
7102805144,60019499,2009
7201639427,60077757,2007
7201708373,60029323,2003
7202304945,60016293,2007
7202351891,60032205,2005
7401694062,60023612,2003
7401866352,60016293,2004
7402310490,60003873,2010
7402570950,60023612,2004
7403233362,100840293,2008
7404780471,60027567,2004
7404860188,60022803,2004
7404884940,60122307,2005
7406719512,60004130,2005
7801655141,60010534,2006
8103415200,60017435,2007
8147760600,60019871,2003
8208162500,60006122,2009
8272387000,60090137,2004
8292152100,60002583,2002
8304719700,60024983,2012
8368287500,60071132,2005
8390071300,60019743,2007
8539023200,60010534,2006
8544896700,60112672,2004
8560168100,60027030,2005
8567095700,60007626,2001
8578319800,60018468,2005
8586253200,60023612,2008
8656478600,60070813,2008
8664685800,60033340,2005
8672008400,60010237,2009
8680212600,60007174,2009
8712851500,60007995,2009
8848770900,60002441,2005
8894857800,60030898,2008
8927544700,100611346,2007
8961555800,101338715,2005
8973108000,60016293,2006
8983649400,60136259,2004
8986062500,60014826,2003
9248294500,60022321,2005
10144476800,60002583,2005
11141620600,100758390,2006
11439991000,60112607,2005
12752511200,60008826,2007
12765512700,60119101,2005
12766562500,60098792,2006
12769443600,60111791,2006
13003681900,101598509,2006
13608010900,60010546,2012
13609060500,60063570,2006
13613347400,60009357,2009
14007237400,60032704,2009
14018430000,60104179,2009
14048288900,60013830,2008
14056409900,60097929,2006
14063445800,60020453,2006
14420757200,101320289,2007
14522380200,60023612,2010
14525230300,60009728,2007
14623024900,60012386,2006
14626910600,100565574,2009
14627335700,60008845,2010
14825360700,60010534,2011
14830251400,60007241,2005
15064972400,60016459,2006
15072000700,60019743,2006
15731104500,60021293,2005
15764730300,60023612,2009
15769412800,60162040,2005
15827421800,60023612,2010
15836237100,60025685,2006
15849736100,101227257,2004
16022524000,60016293,2007
16029705500,60019743,2007
16052818100,60081224,2007
16063018800,60026627,2007
16177950200,60000970,2007
16232308500,60029611,2007
16241733300,100645847,2007
16301612600,60023612,2007
16306250400,60030309,2005
16308997300,60023612,2007
16311372400,60007906,2007
16480702100,60002180,2006
16637128000,105598863,2008
16640139700,60000177,2008
16645133500,60032704,2010
17345610200,60032775,2007
17433872600,60112315,2006
18434909800,60023755,2007
18834182700,60003424,2007
19337276600,60020722,2011
21735551100,60012386,2007
22936783500,60018622,2007
22952096700,60074653,2007
22956336700,60021406,2007
22984200200,60023755,2009
23011049700,60028743,2005
23037784200,60091322,2010
23093716000,60020902,2009
23096165800,60021406,2008
23097817700,60031864,2006
23110254000,60027962,2008
23480627400,60023612,2009
23482769900,60011045,2008
23483171200,60019743,2008
23493510000,60100182,2008
23979822000,60002811,2007
23988364700,60027567,2008
23988916700,60007869,2008
23989553900,60019743,2010
23995395300,60021406,2011
24278884500,60003942,2007
24476199900,60008463,2008
24481260900,60008840,2008
24490755800,60019087,2008
24764939600,60028558,2008
24778747500,100581951,2008
24923156200,60023612,2008
25932021100,60112497,2009
26027514400,60023612,2009
26647484500,60109587,2004
26967913100,60008881,2009
34067535800,60112750,2007
34571547800,60032058,2007
34975823100,60027567,2006
34976919000,100333843,2009
35069109600,60016293,2009
35108665000,60021406,2009
35112693900,60016293,2009
35188305700,105454872,2008
35222300600,60007878,2008
35952269700,60023755,2005
36104245600,60010029,2009
36241348700,100565574,2010
36443862400,106272896,2009
36468267600,60084240,2007
36518411800,60003873,2005
36521614500,60001921,2006
36640980500,60003873,2009
36711495400,113198512,2009
36714633600,107553192,2009
36747990200,60015357,2010
36796317200,60007163,2004
36986906500,60018468,2011
36995190500,60027567,2006
36997880600,110006385,2011
37023295600,60024886,2011
37666159700,60016293,2011
38360933400,60006692,2011
39461128700,60024915,2010
47061790600,60112315,2012
50262334100,112117375,2011
51763736100,100420843,2011
54407531900,100459031,2008
55183635800,60088692,2007
55447121900,60053707,2004
55454901600,113168906,2012
55469830000,60006890,2009
55472117300,60022786,2002
55476804700,60019743,2005
55667540500,60112672,2008
55721687000,60021406,2007
55824628500,60112745,2010
55824661600,60081224,2003
55824753600,60021406,2006
55824939300,113811439,2006
55892107200,60019735,2011
55943945200,60016293,2006
55959601500,60021406,2006
56076186000,60008638,2009
56109738700,60022017,2007
56164645600,60010484,2004
56181535100,60021406,2012
56195623000,60002768,2005
56216918700,60019743,2006
56221337800,60079008,2010
56244599200,60023612,2006
56304493200,60021293,2005
56406827000,60012731,2010
56409883500,60012054,2005
56445337100,125257072,2010
56488159100,60015104,2006
56528363100,60029640,2009
56616538800,60029611,2007
56689162100,100808446,2004
56978810300,60022321,2005
57006493300,100559624,2007
57023754200,60076285,2008
57193809027,118307377,2010
57197566481,60012090,2006
57204660084,60019499,2008
57215469044,60091322,2009
57215729062,60013830,2011
57216120386,60030966,2005
57219040030,60019743,2010
57224954074,100835855,2004
57226163039,60109908,2012
