stu_id,adviser_name,commitee_members,source
"ALBQAMI, RAJA M.;Oklahoma State University;2000",Michael J. Applegate,,academictree
"ALEM, MAURO;University of Chicago;2003",Robert M. Townsend,Pierre-Andre Chiappori; Edward Green; Randy Kroszner,Dissertation
"ALENCAR, ALEXANDRE SORIANO;University of California, Los Angeles;2003",Carlos Vegh,Amartya Lahiri; Andrew Atkeson; Hans Schollhammer,Dissertation
"ALENEZI, MOHAMMAD;North Carolina State University;2001",Michael L. Walden,,Dissertation
"ALESIA, EISA;Southern Illinois University;2001",Selahattin Dibooglu,,academictree
"ALESSANDRIA, GEORGE;University of Pennsylvania;2000",Andrew Atkeson; Patrick Kehoe,,Dissertation
"ALEXAKOS, OLGA;New School for Social Research;2000",Anwar Shaikh,,Dissertation
"ALEXANDER, GWENDOLYN MARIE;University of Maryland;2001",Roger R Betancourt,Jonah B. Gelbach; Daniel R. Vincent; Seth Sanders; Marc Nerlove,Email; academictree
"ALEXANDER, ROGER K.;George Washington University;2003",Christopher Snyder,John E. Kwoka; Sumit Joshi,Dissertation
"ALEXANDRAKIS, CONSTANTINE;Clark University;2003",Attiat F. Ott,Zheng Liu; Wayne Gray,Dissertation
"ALFIRMAN, LUKY;University of Colorado;2004",Charles d. Bartholome,,academictree
"ALGHALITH, MOAWIA;Northern Illinois University;2001",Ardeshir Dalal,,Dissertation; academictree
"ALHMOUD, KHALID BASSAM;Texas Tech University;2002",Robert McComb,,academictree
"ALI, MAGDY FATTOUH;George Mason University;2003",Willem H. Thorbecke,,academictree
"ALI, SHUJAT;Simon Fraser University;2001",Mahmood H. Khan,,academictree
"ALKHOLIFEY, AHMED A.;Colorado State University;2000",L.S. Fan,Harvey Cutler; Robert Kling; John Olienyk,Dissertation
"ALLARD, GAYLE J.;University of California, Davis;2003",Peter H. Lindert,,academictree
"ALLEGRETTO, SYLVIA ANN;University of Colorado;2003",Terra G. McKinnish,,academictree
"ALMEIDA NETO, HEITOR VIEIRA DE;University of Chicago;2000",Raghuram G. Rajan,,academictree
"ALMOND, DOUGLAS V.;University of California, Berkeley;2002",Kenneth Y. Chay,David Card; Jane Mauldon; Ronald D. Lee,Dissertation
"ALOMAR, IBRAHIM S.;Kansas State University;2002",E. Wayne Nafziger,,academictree
"ALOMAR, MOHAMMAD ALI;Claremont Graduate University;2003",Arthur Denzau,,academictree
"ALONSO CIFUENTES, JULIO;Iowa State University;2002",Barry L. Falk,,academictree
"ALPER, OMER E.;Johns Hopkins University;2002",Edi Karni; Jimmy Chan,,Dissertation
"ALSALEM, AHMED MOHAMMED;Colorado State University;2000",Ronnie J. Phillips,,academictree
"ALSALMAN, ABDULLAH E.;Howard University;2002",Ransford W. Palmer,,academictree
"ALSTADHEIM, RAGNA;Georgetown University;2002",Matthew B. Canzoneri,Dale W. Henderson,Dissertation
"ALTINANAHTAR, ALPER;Texas Tech University;2004",Jamie B. Kruse,,academictree
"ALVAREZ, FRANCISCO;University of Washington;2004",Stephen J. Turnovsky,,CV
"ALVES, IVAN;University of British Columbia;2001",Francisco M. Gonzalez,,Advisor CV
"ALY, ASHRAF EL-SAYED EL-ARABY;Kansas State University;2004",James Ragan,William Blankenau; John Crespi; Dong Li,Dissertation
"AMADOR, MANUEL ANDRES;Massachusetts Institute of Technology;2003",Daron Acemoglu; Olivier Blanchard,,Dissertation
"AMARAL, PEDRO SERVULO;University of Minnesota;2002",Edward Prescott,,Email
"AMAYA, KENICHI;Massachusetts Institute of Technology;2003",Glenn Ellison; Muhamet Yildiz,,Dissertation
"AMEGASHIE, J. ATSU;Simon Fraser University;2002",Gordon M. Myers,,academictree
"AMERIKS, JOHN ARTHUR;Columbia University;2001",Stephen P. Zeldes,,academictree
"AMES, MARY ISABEL;University of California, Berkeley;2002",Teh-Wei Hu,,academictree
"AMIDON, CAROLE MARIE;University of Illinois;2003",Roger William Koenker,,Mathematics Genealogy
"AMIN, MOHAMMAD;Columbia University;2003",Paolo Siconolfi,,academictree
"AMROMIN, GENE;University of Chicago;2002",Anil Kashyap,Lars Peter Hansen; John Heaton; Annette Vissing-Jørgensen,CV
"AN, GALINA A.;University of Colorado;2003",James Markusen,Yongmin Chen,Email; Committee CV
"ANDERSON, CHRISTOPHER M.;California Institute of Technology;2001",Colin F. Camerer,David M. Grether; Jeffrey Banks; Paolo Ghirardato,Dissertation
"ANDERSON, GARY W., JR.;University of Maryland;2000",Roger Betancourt,,academictree
"ANDERSON, JOSHUA REID;University of California, Santa Barbara;2003",Stephen Leroy,,academictree
"ANDERSON, THOMAS;Duke University;2002",Charles Clotfelter,Peter Arcidiacono; Thomas Nechyba; Jacob Vigdor,Dissertation
"ANDERSTON, STEVEN TODD;University of California, Santa Cruz;2003",Donald Wittman,Nirvikar Singh; Daniel Friedman,Dissertation
"ANGEL-URDINOLA, DIEGO F.;Georgetown University;2003",Philip J. Cross,,academictree
"ANGELETOS, GEORGE-MARIOS;Harvard University;2001",Alberto Alesina,Robert J. Barro; N. Gregory Mankiw,Dissertation
"ANNALA, CHRISTOPHER;Washington State University;2000",Ray Batina,,academictree
"ANTINORI, CAMILLE M.;University of California, Berkeley;2000",Gordon Rausser,Irma Adelman; Louise Fortmann; Brian Wright,CV; academictree
"ANTÓN-SARABIA, ARTURO;Cornell University;2002",Salvador Ortigueira,Karl Shell; Yi Wen,University
"ANTONOVICS, KATE;University of Wisconsin;2000",John Kennan,Peter Norman; Derek Neal,University; academictree
"ANTRAS, POL;Massachusetts Institute of Technology;2003",Daron K. Acemoglu; Jaume Ventura,,Dissertation
"AO, XIANG;University of Nebraska;2002",Matthew J. Cushing,,academictree
"APINUNMAHAKUS, AMORNRAT;University of Ottawa;2001",V Barham,,academictree
"ARAUJO, MARIA CARIDAD;University of California, Berkeley;2003",Elisabeth Sadoulet; Alain de Janvry,,Dissertation
"ARCINIEGAS, ISMAEL E.;University at Albany;2002",Betty C. Daniel,,academictree
"ARELLANO, MARIA SOLEDAD;Massachusetts Institute of Technology;2003",Paul L. Joskow; Franklin M. Fisher,,Dissertation
"ARIAS-VARGAS, ALEXIS JOSE;Boston University;2003",Ingo Vogelsang,,academictree
"ARIAS, ANDRES F;University of California, Los Angeles;2002",Lee E. Ohanian,,academictree
"ARIMURA, TOSHIHIDE;University of Minnesota;2000",John Gewke; Edward Foster,,Dissertation
"ARIYAPRUCHYA, KIATIPONG;Columbia University;2004",Brendan O'flaherty,,academictree
"ARMENTER, ROC;Northwestern University;2004",Lawrence J. Christiano,,academictree
"AROSKAR, NISHA SUHAS;Ohio State University;2003",Paul Evans,J. Huston McCulloch; Pok Sang Lam,Dissertation
"ARSENEAU, DAVID MACY;University of Virginia;2004",John McLaren,,academictree
"ARTEAGA-GARCIA, JULIO CESAR;University of Cincinnati;2001",Debashis Pal,Christina Kelton; Harland Whitmore,Dissertation
"ARTETA, CARLOS O.;University of California, Berkeley;2002",Barry Eichengreen,,academictree
"ARZE DEL GRANADO, FRANCISCO JAVIER;Georgia State University;2003",Jorge Martinez-Vazquez,Robert McNab; Mary Beth Walker; Kelly Edmiston,Dissertation
"ASADURIAN, ALICE;George Washington University;2003",Vincy Fon,,academictree
"ASAMOAH, SENANU Y.;Binghamton University;2004",Clifford D. Clark,Barry Jones; David Cingranelli; Ronald Britto,Dissertation
"ASATRYAN, ARMEN;Texas A&M University;2003",Oral Capps,John Nichols; George Davis; Dudley Poston; Gene Nelson,Dissertation
"ASHCRAFT, ADAM;Massachusetts Institute of Technology;2001",Daron Acemoglu; Olivier Blanchard,,Dissertation
"ASHWORTH, SCOTT;Massachusetts Institute of Technology;2001",James M. Snyder,,Dissertation
"ASKER, JOHN;Harvard University;2004",Ariel Pakes,,Advisor CV
"ASLAM, SAAD;Clark University;2001",Wayne B. Gray,,Dissertation
"ASPAROUHOVA, ELENA;California Institute of Technology;2004",Peter L. Bossaerts,Charles R. Plott; Ivana Komunjer; Thomas R. Palfrey; William R. Zame,Dissertation
"ASTORGA, ALFREDO;Johns Hopkins University;2002",Louis Maccini,Thomas Lubik,academictree; Commitee CV
"ASWAL, NAVIN;University of Minnesota;2000",Thomas Holmes,,Email; academictree
"ATAKAN, ALP. E.;Columbia University;2003",Prajit K. Dutta,,academictree
"ATANASSOV, BOYKO;University of Delaware;2004",Jeffrey B. Miller,Evangelos M. Falaris; Robert Schweitzer; Michael A. Arnold; Terry L. Campbell,Dissertation
"ATES, AYSEGUL;American University;2003",Robert M. Feinberg,,academictree
"ATHREYA, RUPA;Yale University;2002",Stephen Morris,Benjamin Polak,http://www.princeton.edu/~smorris/past%20PhD%20Students
"ATTIA, JOSEPH;University of Virginia;2001",Kenneth Elzinga,John Pepper; Charles Holt,Email; academictree
"ATURUPANE, CHONIRA;Stanford University;2000",Anne O. Krueger,,academictree
"AU, IRIS;Simon Fraser University;2002",James W. Dean; Peter Kennedy,Mario Blejer; Liliana Schumacher,Dissertation
"AUGUSTINE, CARLTON JOSEPH;University of Delaware;2002",Stacie E. Beck,,academictree
"AURA, SAKU;Massachusetts Institute of Technology;2001",Peter A. Diamond; Jonathan Gruber,,Dissertation
"AUTERI, MONICA;George Mason University;2001",Richard Wagner,Charles Rowley; Patrick Wilkie,Dissertation
"AVALOS, ANTONIO;Oklahoma State University;2003",Andreas Savvides,Lee C. Adkins; James R. Fain; Michael M. Smith,Dissertation
"AVALOS, FERNANDO HUGO;University of Chicago;2001",Anil Kashyap,,academictree
"AXELSEN, DAN;Washington State University;2003",Robby Rosenman,,academictree
"AYDOGAN, NESLIHAN;University of California, Irvine;2000",Kenneth Small,,academictree
"AYTEMIZ, LEVENT;Oklahoma State University;2001",Keith Willett,,academictree
"AZAR, OFER;Northwestern University;2004",James Dana,Robert Porter; William Rogerson,Dissertation
"AZDAN, DONNY;Ohio State University;2001",Douglas D. Southgate,David S. Kraybill; Donald G. McCloud,Dissertation; academictree
"AZUMA, YOSHIAKI;Brown University;2002",Herschel I. Grossman,Oded Galor; David Weil,Dissertation
"AZZAM, ISLAM;University of California, Irvine;2003",David Brownstone,,CV
"BAAR, DAVID WILLIAM;Queen's University;2000",Thomas J. Courchene,,academictree
"BABIHUGA, RITA;Clark University;2003",Attiat F. Ott,Daniel Bernhofen; Wayne Gray; Robert Hsu,Dissertation
"BACHMEIER, LANCE, J.;Texas A&M University;2002",Dennis Jansen; Norman R. Swanson,James Griffin; George Davis,CV; University
"BACHTIAR, INDRO;Colorado State University;2002",Terutomo Ozawa; Stephen Davies,C.M. Fan; Ronnie J. Phillips,Dissertation
"BACOLOD, MARIGEE PONLA;University of California, Los Angeles;2002",V. Joseph Hotz; Kenneth Sokoloff,Paul Devereux; Meredith Phillips,CV
"BADASYAN, NARINE;Virginia Polytechnic Institute and State University;2004",Robert Gilles,Reza Barkhi; Catherine Eckel; Hans Haller; Nancy Lutz; Aris Spanos,Dissertation
"BAE, SANGHOO;Michigan State University;2003",Jay Pil Choi,,CV
"BAEK, YOUNG-NAHN;University of California, Los Angeles;2002",Kenneth Sokoloff,Antonio Bernardo; Naomi Lamoreaux; Jean-Laurent Rosenthal; Carlos A. Vegh,Dissertation
"BAERENSS, ANTJE;University of Colorado;2000",James Markusen,Yongmin Chen,academictree; Commitee CV
"BAILEY, WENDY;University of Pittsburgh;2000",Jake Birnberg,Carol Baker; Vicky Hoffman; Don Moser; Karen Shastri,Dissertation
"BAIRD, KATHERINE E.;University of Massachusetts;2000",Samuel Bowles,,CV
"BAIYEE-MBI, AGBOR-BAIYEE;University of Illinois;2004",Mike Mazzocco,,academictree
"BAKER, MALCOLM;Harvard University;2000",Andrei Shleifer,,academictree
"BAKER, SCOTT A.;University of North Carolina;2001",Claudio Mezzetti,,University
"BAKIMOV, RUSTAM;University of Delaware;2003",James L. Butkiewicz,,academictree
"BALAK, BENJAMIN;University of North Carolina;2001",Vincent Tarascio,,University
"BALAN, DAVID JONATHAN;University of Illinois;2000",Lee Alston,Kevin Hallock; John Conley; Wally Hendricks,Dissertation
"BALAZS, VARADI;Yale University;2001",Steven Berry,,Email
"BALDI, ALESSANDRA;Columbia University;2001",Robert Mundell,Xavier Sala-i-Martin,Dissertation
"BALIAN, OHAN;American University;2002",Amos Golan,John Willoughby; Irma Adelman,Dissertation
"BALL, CHRISTOPHER P.;Texas A&M University;2003",Leonardo Auernheimer,,University
"BALL, HAROLD LEE;Georgia State University;2001",Bruce Seaman,,academictree
"BALLOU, JEFFREY P.;Northwestern University;2000",Burton Weisbrod,,Email; academictree
"BALSA, ANA INES;Boston University;2003",Thomas G. McGuire,Randall P. Ellis; Kevin Lang,Dissertation
"BALTA, MUZAFFER EMRE;City University of New York;2004",Salih Neftci,Nusret Cakici; Michael Grossman,Dissertation
"BANDYOPADHYAY, SIDDHARTHA;Pennsylvania State University;2003",Kalyan Chatterjee,,academictree
"BANERJEE-ROTHE, SARBARI;New York University;2001",Giorgio Topa,,academictree
"BANGS, JOANN;University of Minnesota;2000",Timothy J. Kehoe,,academictree
"BAO, JULIA JUAN;Indiana University;2001",Eric M. Leeper,,academictree
"BAO, YONG;University of California, Riverside;2004",Tae-Hwy Lee,,academictree
"BAQIR, REZA;University of California, Berkeley;2000",David H. Romer,,academictree
"BAR-ON, ZAHARA;University of California, Berkeley;2004",Matthew Rabin,Jonathan Leonard; David Lee; Michael Reich; David Romer,Dissertation
"BAR, TALIA;Yale University;2003",Dirk Bergemann,Donald Brown; Stephen Morris,CV; academictree
"BARAKAT, HASSAN H.;Colorado State University;2002",Ronnie Phillips,Terutomo Ozawa; Nancy Jianakoplos; Richard Johnson,Dissertation
"BARANCHUK, NINA;Washington University in St. Louis;2004",Siddhartha Chib,Todd Milbourn,Dissertation
