stu_id,adviser_name,commitee_members,source
"DOBKIN, CARLOS;University of California, Berkeley;2003",Kenneth Chay,David Card; Jeffrey Gould,Dissertation
"DODONOVA, ANNA;University of Michigan;2002",Roger H. Gordon,Yan Chen; Joshua Coval; James R. Hines,Dissertation
"DONATH, DANIEL;Pennsylvania State University;2003",James R. Tybout,,academictree
"DONOVAN, JOHN A.;Northeastern University;2003",Kamran M. Dadkhah,Oscar T. Brookins; Gregory H. Wassall,Dissertation
"DOPICO, LUIS GARCIA;Auburn University;2000",Robert B. Ekelund,,academictree
"DORABIALSKI, WOJCIECH;Rice University;2004",Marc Dudey,,academictree
"DORESTANI, ALIREZA;University of Missouri;2002",Peter Mueser,,academictree
"DOS SANTOS, CLAUDIO H.;New School for Social Research;2003",Anwar Shaikh,,academictree
"DOWELL, PAULA E.;University of Tennessee;2000",Matthew N. Murray,,Email; academictree
"DOYLE, COLIN M.;University of Maryland;2003",John Shea,,academictree
"DOYLE, JOSEPH JOHN;University of Chicago;2002",Steven Levitt,Mark Duggan; Michael Greenstone,Email
"DOYLE, MATTHEW;University of British Columbia;2002",Paul Beaudry,Francisco M. Gonzalez,Commitee CV
"DRAGAN, NICOLAE GABRIEL;University of British Columbia;2003",Mukesh Eswaran,,academictree
"DRAHO, JASON;Yale University;2001",Dirk Bergemann,Benjamin Polak,University
"DRELICHMAN, MAURICIO;Northwestern University;2003",Joel Mokyr,,academictree
"DRESSLER, SCOTT JAMES;University of Texas;2004",Dean Corbae,,Advisor CV; academictree
"DRUCK, PABLO F.;University of California, Los Angeles;2000",Carlos A. Vegh,Jose C. Moya; Deepak K. Lal; Amartya Lahiri,Dissertation
"DU, DING;West Virginia University;2003",Ronald J. Balvers,,academictree
"DU, JULAN;Harvard University;2001",Andrei Shleifer,,academictree
"DUBASOV, DMITRY;Yale University;2002",William Brainard,Peter C.B. Phillips,Commitee CV; academictree
"DUBE, ARINDRAJIT;University of Chicago;2003",Richard Freeman,Canice Prendergast; Maitreesh Ghatak,Dissertation
"DUBOSSE, NANCY;New School for Social Research;2000",Duncan Foley,William Milberg; Eugene Canjets; Jose Casanova,Dissertation
"DUCHOVNY, NOELIA JUDITH;University of Maryland;2001",Judith K. Hellerstein,William Evans; Seth Sanders; Jonah B. Gelbach; David Falk,Email; academictree
"DUGGAR, ELENA HRISTOVA;University of California, Berkeley;2004",Jonathan Berk,,academictree
"DUHAMEL, MARC;University of British Columbia;2000",Charles Blackorby,,academictree
"DUKES, ANTHONY J.;University of Pittsburgh;2001",Esther Gal-Or,,academictree
"DUMLAO, LUIS;Fordham University;2001",Parantap Basu,Dominick Salvatore; Henry Schwalbenberg,Email; academictree
"DUNCAN, ALBERT;New School for Social Research;2004",William Milberg,Anwar Shaikh; Eugene Canjels; Eli Zaretsky,Dissertation
"DURBIN, ERIK WILLIAM;Columbia University;2000",Andrew Newman,,Dissertation
"DURHAM, GARLAND B.;University of North Carolina;2001",Ronald A. Gallant,,University; academictree
"DURMUS, AYDOGAN DURMUS;City University of New York;2002",Salih N. Neftci,,academictree
"DUSEK, LIBOR;University of Chicago;2003",Casey B. Mulligan,Gary S. Becker; Steven D. Levitt,Email
"DUTTA, GITANJALI;University of Missouri;2002",Van Hoang Pham,,Email
"DUTTA, INDRANIL;University of California, Riverside;2001",Prasanta K. Pattanaik,Taradas Bandyopadhay; Keith Griffin; R. Robert Russell,Dissertation
"DUTTAGUPTA, RUPA;University of Maryland;2000",Arvind Panagariya,Robert Schwab; Rachel E. Kranton; Francisco R. Rodriguez; Bartlomiej Kaminski,Email; academictree
"DUTTARAY, MOUSUMI;Indiana University;2001",Michael V. Alexeev,,academictree
"DUYGAN, BURCU;Johns Hopkins University;2004",Christopher Carroll; Bruce Hamilton,,Dissertation
"DVORAK, TOMAS;University of Maryland;2000",John C. Haltiwanger,,Advisor CV; academictree
"DWORAK-FISHER, KEENAN;University of Michigan;2000",John Bound,Mary Corcoran; Gordon Hanson; George Johnson,Dissertation
"DYCZEWSKI, PAWEL;University of California, Berkeley;2002",David H. Romer,,academictree
"DYKE, ANDREW R.;University of North Carolina;2003",Helen V. Tauchen,,University
"EBENS, HEIKO;Johns Hopkins University;2001",Pedro de Lima; Tim Bollerslev,,Dissertation
"ECHENIQUE MENONI, FEDERICO M.;University of California, Berkeley;2000",Ilya Segal; Chris Shannon,,CV; academictree
"ECHEVERRIA, CRISTIAN;University of California, Berkeley;2002",David H. Romer,,academictree
"ECKENROD, SARAH B.;University of Wisconsin, Milwaukee;2003",James H. Peoples,,academictree
"EDELBERG, WENDY MARIANNA;University of Chicago;2003",Annette Vissing-Jorgensen,,Advisor CV; academictree
"EDWARDS, BARBARA LYNN MARKIN;Georgia State University;2000",Sally Wallace,Roy Bahl; David L. Sjoquist; Jorge Martinez-Vasquez,Dissertation
"EDWARDS, JEFFREY A.;Virginia Polytechnic Institute and State University;2003",Richard Cothren; Anya McGuirk,Sheryl Ball; Aris Spanos; Dennis Yang,Dissertation
"EDWARDS, RYAN DOUGLAS;University of California, Berkeley;2002",David H. Romer,,academictree
"EDWARDSON, JEFFREY;Texas A&M University;2000",Edgar K. Browning,Donald R. Deere; Thomas R. Saving; Carl E. Shafer,Dissertation
"EGOROV, ALEXEI;Cornell University;2003",Robert T. Masson,Bhaskaran Swaminathan; Haitao Li,Dissertation
"EIBNER, CHRISTINE E.;University of Maryland;2001",William Evans,Nicholas Montgomery; Robert Schwab; Judith K. Hellerstein; Barbara F. Meeker,Email
"EID, ASHRAF GALAL MOHAMED;Western Michigan University;2004",Eskander Alvi,Debasri Mukherjee; Kevin Corder,Dissertation
"EILAT, YAIR;Harvard University;2002",Ariel Pakes,,academictree
"EINAV, LIRAN;Harvard University;2002",Drew Fudenberg; Al Roth,,CV; Adisor CV; academictree
"EISFELDT, ANDREA LYNN;University of Chicago;2000",John H. Cochrane; Lars Peter Hansen,Douglas Diamond,Dissertation; Commitee CV
"EKMEKCI, ELIF;Purdue University;2003",John Pomery,Dan Kovenock; John Barron; Rao Kadiyala,CV
"EL OBEID, AMANI;Iowa State University;2001",Dermot J. Hayes,,academictree
"EL-HODIRI, NAGLA'A D.;University of Arizona;2001",Ronald L. Oaxaca,,academictree
"EL-SHAARWI, AHMED M.;Kansas State University;2001",Yang-Ming Chang,,academictree
"EL-WASSAL, KAMAL AMIN;Vanderbilt University;2002",Mario Crucini,,academictree
"ELARDO, JUSTIN A.;University of Utah;2003",Al Campbell,Mark Glick; Hans Ehrbar; David Knowlton; John Watkins,Dissertation
"ELEKDAG, SELIM;Johns Hopkins University;2003",Thomas Lubik,,Advisor CV; academictree
"ELFENBEIN, DANIEL;Harvard University;2004",Joshua Lerner,,CV; academictree
"ELIASSON, LUDVIK;University of Washington;2001",Stephen J. Turnovsky,,academictree
"ELKHOURY, ANTOINE;Oklahoma State University;2004",Gerald M. Lage,,academictree
"ELMAGBOL, HANAN BUSHRA;Oklahoma State University;2003",Kent Olson,Mike Applegate; Ed Price; Mike Woods,Dissertation
"ELOSEGUI, PEDRO LUIS;University of Illinois;2002",Anne Villamil,,academictree
"ELSAYED, MOHAMED GABER HASSAN;Western Michigan University;2004",Matthew L. Higgins,Debasri Mukherjee; Ahmed Hussen,Dissertation
"ENGLAND, SCOTT;Colorado State University;2002",Harvey Cutler,,academictree
"ENZ, MICHAEL JONATHAN;University of Oregon;2003",Wesley Wilson,Bruce A. Blonigen; Larry D. Singell; Lynn R. Kahle,Email
"EPLING, NANCY MARIE;Yale University;2003",Martin Pesendorfer,Steven Berry; Penny Goldberg,CV
"EPSTEIN, ANNE;Johns Hopkins University;2003",David Salkever,,academictree
"ERASLAN, HULYA KEVSER KUZUCU;University of Minnesota;2001",Antonio Merlo,,Email
"ERDEN, LUTFI;Florida State University;2002",Randall Holcombe,,academictree
"ERDOGDU, OYA;Iowa State University;2002",Barry L. Falk,,academictree
"ERKAL, NISVAN;University of Maryland;2002",Rachel E. Kranton; Daniel R. Vincent,Lawrence M. Ausubel; Peter Cramton; John K. Horowitz,Email; academictree
"ERUTKU, CAN;University of Laval;2001",Yves Richelle,,academictree
"ESANOV, AKRAM;Kansas State University;2003",Steven P. Cassou,,academictree
"ESPINO, EMILIO;Cornell University;2000",Karl Shell,,academictree
"ESPOSITO, DOMENICO;University of California, Santa Barbara;2003",William S. Comanor,,academictree
"ESTEBAN-PRETEL, JULEN;New York University;2004",Mark Gertler,Ricardo Lagos,Dissertation
"EUN, WOONG;Utah State University;2002",Herbert H. Fullerton,,academictree
"EVANS, GAREN KEITH;Texas A&M University;2002",Lonnie Jones,Judith Stallmann; George Davis; William Nielson,Dissertation
"EVANS, LAWRANCE L.;University of Massachusetts;2001",Robert Pollin,James Crotty; Bernard Morzuch,Dissertation
"EVANS, MARY FRANCES;University of Colorado;2001",Nicholas Flores,Jack Robles; Don Waldman; Edward Morey,Dissertation
"EVENSON, BENGTE;Massachusetts Institute of Technology;2002",William C. Wheaton; Sendhil Mullainathan,,Dissertation
"EVERHART, STEPHEN S.;Georgia State University;2002",Jorge Martinez-Vazquez,,academictree
"EVRENK, HALDUN;Boston University;2004",Dilip Mookherjee,,academictree
"EWING, PAUL LEE, JR.;Colorado School of Mines;2002",Alexandra M. Newman,R. E. D. Woolsey; Jeff Grobman; Robert Frost; Irina Khindanova,Dissertation
"EZRIELEV, JAY;New York University;2001",Roman Frydman,,academictree
"FABERMAN, R. JASON;University of Maryland;2003",John C. Haltiwanger,,academictree
"FACCHINI, GIOVANNI;Stanford University;2001",Peter J. Hammond,,academictree
"FADIGA, MOHAMADOU;Texas Tech University;2003",Octavio A. Ramirez,,academictree
"FAHS, RAFIC;Washington State University;2001",Ron Mittelhammer,,University; academictree
"FAIRFIELD, ELTON;University of Western Ontario;2002",Ignatius Horstmann,John Whalley,Dissertation
"FAJNZYLBER, EDUARDO;University of California, Los Angeles;2003",V. Joseph Hotz; Ekaterini Kyriazidou,Paul J. Devereux; Jeffrey T. Grogger,Dissertation
"FALATO, ANTONIO;Columbia University;2004",John Donaldson,,Dissertation
"FALBA, TRACY;Stanford University;2000",John H. Pencavel,,academictree
"FAN, WEI;University of Michigan;2001",Gordon Hanson,Michelle White; James Levinsohn; Shinichi Sakata; Margaret Dewar,University
"FAN, WENZHONG;Yale University;2004",Robert J. Shiller,,academictree
"FANG, HUA;University of Virginia;2002",T. Wake Epps,Massimo Guidolin; Steven Clark,Email
"FANG, QIU;Utah State University;2003",Basudeb Biswas,,academictree
"FARAHATI, FARAH;Northern Illinois University;2001",Virginia Wilcox-Gok,,academictree
"FARAS, REYADH;West Virginia University;2002",Subhayu Bandyopadhyay,,academictree
"FARIDI, RUSHAD;Virginia Polytechnic Institute and State University;2004",Dennis Yang,Djavad Salehi-Ishfahani; Richard Ashley; Everett Peterson; Russell Murphy,Dissertation
"FARKA, ERMIRA;Columbia University;2004",Jean Boivin,Richard Clarida; Frederick Mishkin; Bruce Preston; Dan O'Flaherty,Email
"FARRANT, ANDREW;George Mason University;2002",David M. Levy,,Dissertation
"FARSI, MEHDI;University of Southern California;2002",W. Bentley MacLeod,,Dissertation
"FATUM, RASMUS;University of California, Santa Cruz;2001",Michael M. Hutchison,Michael P. Dooley; Carl E. Walsh,Dissertation
"FAY, SCOTT;University of Michigan;2001",Jeffrey MacKie-Mason,David A. Butz; Jeffrey MacKie-Mason; Uwe Kuhn,Email
"FENG, LEI;Harvard University;2002",Jeremy Stein,,Dissertation
"FENN, ETHAN ABBOTT;University of Chicago;2003",George Tolley,,academictree
"FERNANDES, ANA MARGARIDA;Yale University;2002",Christopher Udry,,academictree
"FERNANDEZ FELICES, DIEGO JAVIER;University of Illinois;2000",Firouz Gahvari,,academictree
"FERNANDEZ-VILLAVERDE SANCHEZ, JESUS;University of Minnesota;2001",Lee Ohanian,,Email
"FERNANDEZ, ENRIC;University of Chicago;2000",Fernando E. Alvarez,,academictree; Advisor CV
"FERNANDEZ, GONZALO EZEQUIEL;University of Illinois;2002",Firouz Gahvari,,academictree
"FERNHOLZ, FERNANDO R.;Boston University;2001",John Harris,,CV
"FEROLI, MICHAEL;New York University;2003",Jason G. Cummins,,academictree
"FERREIRA, DANIEL BERNARDO SOARES;University of Chicago;2002",Canice Prendergast,,academictree
"FERREIRA, FERNANDO VENDRAMEL;University of California, Berkeley;2004",Ken Chay; David Card,Emmanuel Saez; David Lee,Email
"FERREIRA, PEDRO JOBIM;University of Chicago;2002",Canice Prendergast,,academictree
"FERREIRA, SERGIO G.;University of Wisconsin;2001",Rodolfo Manuelli,,https://www.escavador.com/sobre/2824228/sergio-guimaraes-ferreira
"FERTIG, ANGELA;Brown University;2001",Moshe Buchinsky,Mark Pitt; Rachel Friedberg; Andrew Foster,Email
"FIGURA, JOHN ANDREW;University of Maryland;2000",John C. Haltiwanger,,Email; academictree
"FILIPI, ALES;Stanford University;2004",Steven Tadelis,,academictree
"FINK, JASON;University of Virginia;2002",T. Wake Epps,Massimo Guidolin; Christopher Otrok,Email
"FINKELSTEIN, AMY;Massachusetts Institute of Technology;2001",James M. Poterba; Jonathan Gruber,,Dissertation
"FIORITO, LUCA;New School for Social Research;2003",Edward J. Nell,Duncan Foley; Nancy Fraser; William Milberg,Dissertation
"FISHER, ANDREW;University of Georgia;2002",William Lastrapes,Santanu Chatterjee; Christopher M. Cornwell; Charles D. DeLorme; George A. Selgin,Dissertation
"FITZGERALD, DOIREANN;Harvard University;2003",Kenneth Rogoff,,academictree
"FITZMAURICE, PATRICIA;Fordham University;2004",Dominick Salvatore,,academictree
"FLANAGAN, ANN;George Washington University;2001",Joseph Cordes,,academictree
"FLETSCHNER, DIANA;University of Wisconsin;2002",Michael Carter,Bradford Barham; Jean Paul Chavas,Dissertation
"FLORES-LAGUNES, ALFONSO;Ohio State University;2001",Stephen R. Cosslett,Audrey L. Light; Randall J. Olsen,Dissertation; academictree
"FLOTTEMESCH, THOMAS JEROME;Washington State University;2003",Ray Batina,,academictree
"FLOYD, EUGENE A., III;City University of New York;2003",David Gabel,,academictree
"FLYN, SEAN MASAKI;University of California, Berkeley;2002",J. Bradford Delong,George Akerlof; Gregory Duffee,Dissertation
"FLYNN, DAVID TERENCE;Indiana University;2001",Elyce Rotella; Elmus Wicker,,CV; academictree
"FOGLI, ALESSANDRA;University of Pennsylvania;2000",Richard Rogerson,,Email
"FOLEY, CHARLES;Harvard University;2002",Andrei Shleifer,,academictree
"FONG, CHRISTINA M.;University of Massachusetts;2000",Samuel Bowles,Herbert Gintis; Cleve Willis,Dissertation
"FONG, JOSEPH K. W.;Queen's University;2001",Ruqu Wang,,academictree
"FONG, YUK-FAI;Boston University;2003",Albert Ching-to Ma,,http://ihome.ust.hk/~yfong/FongCV.htm; academictree
"FONTENLA, MATIAS;University of Texas;2003",P. Dean Corbae,,Advisor CV
"FOOTE, JILL;Fordham University;2002",R. Richard Geddes,Henry Schwalbenberg; Hrishikesh D. Vinod,Email
"FORD, TIMOTHY C.;University of New Hampshire;2002",Bruce T. Elmslie; Jonathan C. Rork,Karen Smith Conway; Ju-Chin Huang; Michael D. Goldberg; Lewis S. Davis,Dissertation
"FORNI, LORENZO;Boston University;2001",Laurence Kotlikoff,Kevin Lang; Simon Gilchrist,CV
"FOSTER, JENNIFER R.;University of Maryland;2003",Judith K. Hellerstein,,academictree
"FOX, ALAN;University of Michigan;2000",Robert M. Stern,Alan V. Deardorff; Gary R. Saxon-House; Katerine Terrell,CV; University
"FOX, JEREMY;Stanford University;2003",Frank A. Wolak,Edward P. Lazear; Patrick Bajari; John Pencavel,Dissertation; Commitee CV
"FRAGKIAS, MICHAIL;Clark University;2004",Jacqueline Geoghegan,,CV
"FRANCIS, JOHN;Michigan State University;2001",Steven J. Matusz,,
"FRANCO, FRANCESCO;Massachusetts Institute of Technology;2004",Olivar Blanchard; Xavier Gabaix,,Dissertation
"FRANZONI, FRANCESCO;Massachusetts Institute of Technology;2002",Sendhil Mullainathan; Jonathan Lewellen,,Dissertation
"FRAZER, GARTH;Yale University;2003",Chris Udry,Steve Berry; Pat Bayer,Dissertation; CV
"FREIJE, COREY;Southern Illinois University;2002",Daniel Primont,,academictree
"FREIRE SOLORZANO, MARIA BELEN;University of California, Los Angeles;2000",Arnold C. Harberger,,academictree
"FRIEDMAN, JED;University of Michigan;2001",James Levinsohn,,academictree
"FRIZELLE, JULIE DOLAN;Virginia Polytechnic Institute and State University;2002",Vittorio Bonomo,T. Nicolaus Tideman,Email
"FU, WEIHUA;Rensselaer Polytechnic Institute;2001",John R. Norsworthy,Paul M. Hohenberg; Lois S. Peters; Madabhushi Raghavachari,Dissertation
"FUENTES, MONICA;Columbia University;2003",Joseph E. Stiglitz,,academictree
"FUJIMOTO, AKIKO;Yale University;2004",William N. Goetzmann,Matthew Spiegel; George J. Hall,CV
"FULLERTON, GORDON;Queen's University;2000",Shirley Taylor,Julian Barling,Dissertation
"FULLWILER, SCOTT T.;University of Nebraska;2001",F Gregory Hayden,,academictree
"FUNG, PING-HSUAN;University of California, Davis;2002",Deborah Swenson,Robert Feenstra; Lee Branstetter,Email; academictree
"FURMAN, JASON;Harvard University;2004",N. Gregory Mankiw,,academictree
"FUSARO, MARK;Northwestern University;2004",Robert Porter,Shane Greenstein; Ron Braeutigam; Bill Rogerson,Dissertation
"FUSILLO, MICHAEL G.;City University of New York;2001",David Gabel,,University; academictree
"GABLINGER, YNON;Columbia University;2004",Brendan O'flaherty,,academictree
"GAGNE, LYNDA G.;University of British Columbia;2002",W. Craig Riddell,,Advisor CV
"GAGNON, GREGORY;University of Toronto;2000",Miquel Faig,,University; academictree
"GAILMARD, SEAN;California Institute of Technology;2002",Thomas R. Palfrey,,Dissertation
"GAITAN, BEATRIZ;University of Minnesota;2001",Terry L. Roe,,academictree
"GALLARDO, ANTONIO J.;Lehigh University;2004",Todd A. Watkins,,academictree
"GALLAWAY, JULIE H.;Colorado State University;2001",Alexandra Bernaset,,academictree
"GALLAWAY, TERREL A.;Colorado State University;2001",Robert W. Kling,,academictree
"GALLO, ANDRES ALBERTO;University of Illinois;2003",Lee Alston,Joseph Love; Werner Baer; Stephen Parente; Larry Neal,Dissertation
"GANAPOLSKY, EDUARDO JUAN JAVIER;University of California, Los Angeles;2003",Carlos A. Vegh,Amartya Lahiri; Martin Schneider; Hans Schollhammer,Dissertation
"GANDHI, ALKA;Ohio State University;2003",Richard H. Steckel,Paul Evans; J. Huston McCulloch,Dissertation; CV; academictree
"GANTNER, ANITA;University of California, Santa Barbara;2003",Theodore Bergstrom,,academictree
"GAO, FENG;University of Iowa;2003",Stephen D. Williamson,Charles Whiteman; Beth Ingram; Gene Savin; Richard Dykstra,Dissertation
"GAO, YUAN;University of California, Los Angeles;2000",William R. Zame,Hongbin Cai; Bhagwan Chowdhry; David K. Levine,Dissertation
"GAPEN, MICHAEL T.;Indiana University;2004",George M. von Furstenberg,,academictree
"GARCES TOLON, ELIANA;University of California, Los Angeles;2001",Duncan Thomas; Janet Currie,Wei Hu; Judith A. Seltzer,Dissertation
"GARCIA CUELLAR, MARIA REGINA;Harvard University;2001",Claudia Goldin,,academictree
"GARCIA-ESCRIBANO, MERCEDES;University of Chicago;2003",Robert Townsend,Gary Becker; Pierre-Andre Chiappori; Kevin Murphy,Dissertation
"GARCIA-VERDU, RODRIGO;University of Chicago;2002",Gary S. Becker,,academictree
"GARCIA, LETICIA G.;West Virginia University;2002",Ronald J. Balvers,,academictree
"GARCIA, ROSE MARY;Georgetown University;2001",John T. Cuddington,,academictree
"GARG, SONALI;Ohio State University;2000",Richard H. Steckel,Lucia Dunn; Huston McCulloch,Dissertation; academictree
"GARING, CAPRICE;University of Florida;2003",David Figlio,Larry Kenny; Steven Slutsky,Dissertation
"GARNER, PHILLIP;Brown University;2002",Peter Howitt,Oded Galor; Enrico Spolaore,CV
"GARRETT, ALLISON MARIE;University of Chicago;2001",Robert Fogel,George Tolley; Don Coursey,Dissertation
"GARTLAND, MYLES P.;University of Missouri, Kansas City;2003",Jim Sturgeon,Cathy Carrol; Greg Arling; Peter Eaton; Patrick Peebles,Dissertation
"GASHA, JOSE GIANCARLO;University of Pennsylvania;2002",Martin Uribe,,Email
"GASTANAGA, VICTOR M.;University of Southern California;2000",Cheng Hsiao,,academictree
"GATTIS, LOUIS S., JR.;George Mason University;2001",Mark Crain,,Dissertation
"GAUZSHTEIN, VALERIY;University of Colorado;2003",Jeffrey Zax,,academictree
"GAYLE, PHILIP;University of Colorado;2002",Yongmin Chen,,Email; Advisor CV
"GAYNOR, DANIEL E.;University of Texas;2001",Preston McAfee,David Kendrick; David Sibley; Peter J. Willcoxen; Andrew B. Whinston,Dissertation
"GAYTAN, ALEJANDRO;New York University;2004",Pierpaolo Benigno,Debraj Ray; Jess Benhabib; Alberto Bisin; Boyan Jovanivic; Douglas Gale; Fabrizio Perri,Dissertation
"GE, YING;University of Toronto;2004",Gordon Anderson,Loren Brandt; Diego Puga; Kuan Xu; Varouj Aivazian,Dissertation
"GEDDES, LORI A.;University of Wisconsin, Milwaukee;2002",John S. Heywood,,Dissertation
"GEHLKEN, AMY;University of Alabama;2003",Harris Schlesinger,,academictree
"GEIREGAT, CHRIS R. A.;Johns Hopkins University;2001",Louis Maccini,,academictree
"GELLER, CHRISTOPHER ROMAN;Georgia State University;2000",David L. Sjoquist,,academictree
"GENC, TALAT;University of Arizona;2003",Stanley S. Reynolds,,academictree
"GENG, WANJING;University of Western Ontario;2003",John Knight,,Email
"GENNAIOLI, NICOLA;Harvard University;2004",Andrei Shleifer,Philippe Aghion; Alberto Alesina; Francesco Caselli,Dissertation
"GENTZKOW, MATTHEW;Harvard University;2004",Ariel Pakes,,academictree
"GEORGE, JOHN GREGORY;University of South Carolina;2002",Timothy S. Doupnik,,academictree
"GEORGOPOULOS, GEORGE;University of Toronto;2002",James Pesando,,academictree
"GERAATS, PETRA MARIA;University of California, Berkeley;2000",Maurice Obstfeld,,academictree
"GERAGHTY, THOMAS M.;Northwestern University;2002",Joel Mokyr,,academictree
"GERLACH, JEFFREY R.;Indiana University;2002",Peter L. Pedroni,,academictree
"GERSHUN, NATALIA;Columbia University;2002",John B. Donaldson,,Dissertation
"GETACHEW, LULLIT;Rice University;2003",Robin C. Sickles,,academictree
"GHOSH, ARGHYA;University of Minnesota;2000",Thomas Holmes,,academictree
"GHOSH, ARINDAM;University of California, Irvine;2001",David Brownstone,Kenneth A. Small; Duncan Black,Dissertation
"GHOSH, INDRANIL;Southern Methodist University;2000",Rajat Deb,T. K. Seo; Bogomolnai; Amit Basu,Email
"GHOSH, SUDEEP;University of Iowa;2002",Andreas Blume,April Franco; Doug DeJong; John Solow; Ted Temzelides,Dissertation
"GIANONNI, MARC;Princeton University;2001",Michael Woodford,,academictree
"GIBERSON, MICHAEL;George Mason University;2004",Vernon L. Smith,,CV
"GIBSON, AMY;University of Alabama;2003",Harold Elder,,academictree
"GIDDINGS, LISA;American University;2000",Mieke Meurs,,academictree
"GIEDEMAN, DANIEL;Washington University in St. Louis;2001",Steven Fazzari,,academictree
"GIERTZ, SETH;Syracuse University;2001",Jan I. Ondrich,,academictree
"GIFT, PAUL JOSEPH;University of California, Los Angeles;2002",Arnold C. Harberger,,academictree
"GILANSHAH, CATHERINE E.;George Mason University;2001",Tyler Cowen,,academictree
"GILPATRIC, SCOTT, M.;Texas A&M University;2002",William Neilson,,University
"GINE, XAVIER;University of Chicago;2001",Robert Townsend,Maitreesh Ghatak; Boyan Jovanovic; Luigi Zingales; Jason Abrevaya; Orazio Attanasio,Dissertation
"GINSBURG, MITCHELL;American University;2003",Robert M. Feinberg,,academictree
"GIOVANNONI, FRANCESCO;Stanford University;2000",Peter J. Hammond,,academictree
"GIRNIUS, AUDRIUS JUQZAS;University of Chicago;2003",Gary S. Becker,,academictree
"GIULIANO, LAURA MARIE;University of California, Berkeley;2003",David S Lee,David Card; David I Levine,Email
"GIUMMO, JESSE;University of California, Berkeley;2003",Bronwyn H. Hall,,academictree
"GODTLAND, ERIN M.;University of California, Berkeley;2001",Elisabeth Sadoulet; Alain de Janvry,Ethan Ligon; Laura Enriquez,Dissertation
"GOENNER, CULLEN;University of Wisconsin;2001",Steven N. Durlauf,Yuichi Kitamura; M. Scott Taylor,https://und.edu/directory/cullen.goenner#education
"GOERRE, MICHELLE;University of Virginia;2002",Steven Stern,Simon Anderson; Andrew Cohen,Email
"GOLDAR, MITA;City University of New York;2002",John Devereux,,Dissertation
"GOLDBERG, DROR;University of Rochester;2002",Per Krusell,,academictree
"GOLDFARB, BRENT DANIEL;Stanford University;2001",Nathan Rosenberg,,academictree
"GOLDMAN, ELENA;Rutgers University;2002",Hiroki Tsurumi,Roger Klein; Michael Bordo,Email
"GOLDSMITH, JOHN V.;University of Maryland;2001",Roger R. Betancourt,Peter Cramton; Judith K. Hellerstein; Ginger Z. Jin; Lee Preston,Email; academictree
"GOLLNER, KERSTIN;Rensselaer Polytechnic Institute;2002",Romesh Diwan,,academictree
"GOMES, CARLA SALSA;Boston University;2001",Nitin R. Joglekar,Kevin Lang,academictree; Commitee CV
"GOMES, CLEMENCIA TORRES;Boston University;2001",Ingo Vogelsang,,academictree
"GOMIS PORQUERAS, PEDRO;University of Texas;2001",Bruce D. Smith,,Dissertation
"GONG, JIN-DONG;Johns Hopkins University;2002",Joseph E Harrington Jr.; Jimmy Chan,,Dissertation
"GONZALEZ AMADOR, CHRISTIAN;Georgetown University;2002",Arik M. Levinson,,academictree
"GONZALEZ, CLAUDIA ALEJANDRA;University of Wisconsin;2003",John Kennan,,academictree
"GONZALEZ, MARIA;Princeton University;2002",Kenneth Rogoff,Robert Shimer; Gene Grossman,Dissertation
"GONZALEZ, RAUL SERGIO;Rice University;2003",Robin Sickles,Kevin Hasker; Gustavo Grullon,Dissertation
"GOODGER, TIMOTHY H.;University of North Carolina;2003",Stanley W. Black,,University
"GORDON, DEANNA;University of California, Berkeley;2003",John Quigley,,academictree
"GORDON, NORA;Harvard University;2002",Caroline Hoxby,David Cutler; Claudia Goldin; Lawrence Katz,Dissertation
"GORMLY, SARAH;Georgetown University;2002",James W. Albrecht,,academictree
"GORNEY, ANNE LEY;University of Texas;2001",Daniel T. Slesnick,,academictree
"GOSWAMI, GOUR GOBINDA;University of Wisconsin, Milwaukee;2003",Mohsen Bahmani-Oskooee,,academictree; Advisor CV
"GOTTSCHALL, TIFFANI;Binghamton University;2001",Stanley Masters,,academictree
"GOTWALT, EUGENE W.;George Mason University;2002",Roger Congleton,,academictree
"GOULD, ELISE LORRAINE;University of Wisconsin;2003",Barbara Wolfe,John Mullahy; Meta Brown,Dissertation
"GOUSKOVA, ELENA;Rutgers University;2002",Hiroki Tsurumi,,Dissertation
"GOYAL, RISHI;Stanford University;2001",Ronald McKinnon,,academictree
"GOYAL, SANGEETA;Columbia University;2003",Sherry Glied,,academictree
"GRADOJEVIC, NIKOLA;University of British Columbia;2003",John Cragg,James Brander; R. Glen Donaldson,Email
"GRAF, SPENCER;University of Virginia;2000",Simon Anderson,John Pepper; Steven Stern,Email; academictree
"GRAMM, MARSHALL K.;Texas A&M University;2000",Thomas R. Saving,Finis Welch; Manuelita Ureta; Asghar Zardkoohi,Dissertation
"GRANIK, ANTON;Columbia University;2003",Richard Clarida,Perry Mehrling; Alexei Onatski; Roberto Perotti,Dissertation
"GRAUBART, KAREN B.;University of Massachusetts;2000",Carmen Diana Deere; Karen Spalding,James Boyce; Carollee Bengelsdorf,Email
"GREENWOOD, ROBIN;Harvard University;2003",Andrei Shleifer,,academictree
"GREER, LEE A.;University of Tennessee;2002",George C. Philappatos,,Email
"GREFER, JAMES EDWARD;University of California, Santa Barbara;2003",H.E. Frech III,Kelly Bedard; Lee Rivers Mobley; John M. Marshall,Dissertation
