adv,adv_scopus-name,adv_scopus
Clifford D. Clark,"Clark, Clifford D.",57191943132
Clifford Kern,"Kern, Clifford R.",7005220122
Clifford Russell,"Russell, Clifford S.",7401530469
Clive W. J. Granger,"Granger, Clive W.J.",35613639000
Clopper Almon,"Almon, Clopper",6506117260
Clyde Reed,"Reed, Clyde G.",7402210319
Colin A. Carter,"Carter, Colin A.",55953075000
Colin Allen,"Allen, Colin James",56589404000
Colin Cameron,"Cameron, A. Colin",24586945300
Colin Carter,"Carter, Colin A.",55953075000
Colin F. Camerer,"Camerer, Colin F.",6603895625
Conrado M. Gempesaw II,"Gempesaw, Conrado M.",6603921884
Cordelia Reimers,"Reimers, Cordelia W.",7005255571
Corinne Krupp,"Krupp, Corinne M.",6506519938
Cory Capps,"Capps, Cory S.",7003811666
Cory S. Capps,"Capps, Cory S.",7003811666
Costas Azariadis,"Azariadis, Costas",6603542553
Courtney Jung,"Jung, Courtney",7402016260
Craig Dunbar,"Dunbar, Craig G.",7102344277
Craig McKenzie,"McKenzie, Craig R.M.",7101970184
Craig Volden,"Volden, Craig",6603924689
Craig W. Holden,"Holden, Craig W.",35579826100
Cris Lewis,"Lewis, William Cris",7202045376
Curtis R. Taylor,"Taylor, Curtis R.",36053923800
Curtis Taylor,"Taylor, Curtis R.",36053923800
D. Gale Johnson,"Johnson, D. Gale",57016910800
D. John Roberts,"Roberts, John",56925834500
D. Lynn Forster,"Forster, D. Lynn",15759602600
D. S. Hamermesh,"Hamermesh, Daniel S.",56962711300
D. Salvatore,"Salvatore, Dominick",7006485946
D.A.S. Fraser,"Fraser, Donald A.S.",7402646159
Dafid Autor,"Autor, David H.",6602634280
Dale A. Neuman,"Neuman, Dale A.",56173056300
Dale Belman,"Belman, Dale L.",6603014827
Dale J. Poirier,"Poirier, Dale J.",8343850700
Dale Jorgenson,"Jorgenson, Dale W.",7005755561
Dale Neuman,"Neuman, Dale A.",56173056300
Dale T. Mortensen,"Mortensen, Dale T.",7005068661
Dale W. Henderson,"Henderson, Dale W.",7402989026
Dale W. Trusheim,"Trusheim, Dale",16438129900
Dale William Henderson,"Henderson, Dale W.",7402989026
Dan A. Black,"Black, Dan A.",7402568800
Dan Ackerberg,"Ackerberg, Daniel A.",6506782186
Dan Bernhardt,"Bernhardt, Dan",7006377194
Dan Black,"Black, Dan A.",7402568800
Dan Houser,"Houser, Daniel E.",7007130840
Dan Kovenock,"Kovenock, Dan J.",6602869901
Dan MacIntyre,"MacIntyre, Peter Daniel",7005844340
Dan McIntyre,"McIntyre, Dan",35883246000
Dan O'Flaherty,"O'Flaherty, Brendan",6602588097
Dan Rickman,"Rickman, Dan S.",7005837890
Dani Rodrik,"Rodrik, Dani",7003263580
Daniel A. Ackerberg,"Ackerberg, Daniel A.",6506782186
Daniel A. Graham,"Graham, Daniel A.",24369033700
Daniel Bernhofen,"Bernhofen, Daniel M.",6603477531
Daniel Clawson,"Clawson, Dan",7005106946
Daniel F. Spulber,"Spulber, Daniel F.",6603758347
Daniel Friedman,"Friedman, Daniel",7402079526
Daniel Graham,"Graham, Daniel A.",24369033700
Daniel Hamermesh,"Hamermesh, Daniel S.",56962711300
Daniel J. Slottje,"Slottje, Daniel J.",6603713077
Daniel J. Stynes,"Stynes, Daniel J.",6701628330
Daniel Kessler,"Kessler, Daniel P.",26121206500
Daniel Klein,"Klein, Daniel B.",26643094700
Daniel L. Millimet,"Millimet, Daniel L.",6701594007
Daniel Lass,"Lass, Daniel A.",6507714587
Daniel M. Bernhardt,"Bernhardt, Dan",7006377194
Daniel McFadden,"McFadden, Daniel L.",56260191600
Daniel Millimet,"Millimet, Daniel L.",6701594007
Daniel Primont,"Primont, Daniel A.",6603322965
Daniel R. Vincent,"Vincent, Daniel R.",7101790800
Daniel S. Hamermesh,"Hamermesh, Daniel S.",56962711300
Daniel Schydlowsky,"Schydlowsky, Daniel M.",6505816683
Daniel Spulber,"Spulber, Daniel F.",6603758347
Daniel T. Slesnick,"Slesnick, Daniel T.",6603389019
Daniel Thornton,"Thornton, Daniel L.",7102567758
Daniel Trefler,"Trefler, Daniel",6602302926
Daniel Wilks,"Wilks, Daniel S.",7005956443
Daniele Coen-Pirani,"Coen-Pirani, Daniele",57204413537
Daron Acemoglu,"Acemoglu, Daron",7003483273
Daron K. Acemoglu,"Acemoglu, Daron",7003483273
Darrell Duffie,"Duffie, J. Darrell",6701468567
Darren Filson,"Filson, Darren",55161555400
Darrene Hackler,"Hackler, Darrene L.",6507966815
Darryl McLeod,"McLeod, Darryl",7203000846
Daryl Hellman,"Hellman, Daryl A.",7003580571
Daryl Hobbs,"Hobbs, Daryl J.",7102146817
Dave Sjoquist,"Sjoquist, David L.",6603546353
David A. Bessler,"Bessler, David A.",7003934025
David A. Butz,"Butz, David A.",56417572200
David A. Crocker,"Crocker, David A.",56052395400
David A. Denslow Jr.,"Denslow, David A.",6602386839
David A. Dickey,"Dickey, David A.",7006834393
David A. Easley,"Easley, David A.",6603845006
David A. Green,"Green, David A.",55463835400
David A. Kendrick,"Kendrick, David Andrew",7006870337
David Aadland,"Aadland, David M.",6602836339
David Allen Lam,"Lam, David A.",7201749694
David Andolfatto,"Andolfatto, David",6602612673
David Austen-Smith,"Austen-Smith, David",6601956374
David Autor,"Autor, David H.",6602634280
David B. Audretsch,"Audretsch, David B.",7006423146
David B. Mustard,"Mustard, David B.",6602208598
David B. Nickerson,"Nickerson, David B.",8945171400
David Backus,"Backus, David K.",6601996611
David Baron,"Baron, David P.",7201989383
David Bernstein,"Bernstein, David E.",56238346500
David Bessler,"Bessler, David A.",7003934025
David Blau,"Blau, David M.",56238070900
David Brownstone,"Brownstone, David",6603068371
David C. Mowery,"Mowery, David C.",7003916189
David C. Parsley,"Parsley, David C.",6601918039
David C. Ribar,"Ribar, David C.",6701854177
David Card,"Card, David E.",7006709011
David Chapman,"Chapman, David A.",7402278594
David Cingranelli,"Cingranelli, David Louis",13205032700
David Cutler,"Cutler, David M.",7102733401
David D. Li,"Laibson, David I.",6602200141
David E. Card,"Card, David E.",7006709011
David E. Hahn,"Hahn, David E.",8936953500
David E. M. Sappington,"Sappington, David E.M.",7004207810
David E. Neumark,"Neumark, David",57203256449
David E. Sahn,"Sahn, David E.",35885159600
David E. Weinstein,"Weinstein, David E.",7102920169
David Easley,"Easley, David A.",6603845006
David Ezra Sahn,"Sahn, David E.",35885159600
David Falk,"Falk, David S.",7006534245
David Figlio,"Figlio, David N.",7004102101
David Gabel,"Gabel, David J.",7006576321
David Gray,"Gray, David E.",8368788100
David Green,"Green, David A.",55463835400
David H. Autor,"Autor, David H.",6602634280
David H. Papell,"Papell, David H.",6603869817
David H. Romer,"Romer, David H.",7004409567
David I Levine,"Levine, David I.",7403166229
David I. Levine,"Levine, David I.",7403166229
David Isaac Laibson,"Laibson, David I.",6602200141
David J. Leatham,"Leatham, David J.",6602325953
David K. Levine,"Levine, David K.",7403166005
David Kamerschen,"Kamerschen, David R.",6603605391
David Kendrick,"Kendrick, David",56153330800
David Knowlton,"Knowlton, Dave S.",7004151185
David Knudsen Levine,"Levine, David K.",7403166005
David Kotz,"Kotz, David M.",7006805933
David Kraybill,"Kraybill, David Simon",6602110792
David L. Hummels,"Hummels, David L.",7003362084
David L. Sjoquist,"Sjoquist, David L.",6603546353
David L. Sunding,"Sunding, David L.",6602694929
David Laibson,"Laibson, David I.",6602200141
David Laidler,"Laidler, David E.W.",36795932400
David Lee,"Lee, David S.",55698907900
David Levine,"Levine, David I.",7403166229
David Levy,"Levy, David M.",26643593100
David Li,"Li, David Daokui",7405324008
David Lucking-Reiley,"Lucking-Reiley, David",6602399473
David M. Blau,"Blau, David M.",56238070900
David M. Cutler,"Cutler, David M.",7102733401
David M. Grether,"Grether, David M.",8895511000
David M. Kreps,"Kreps, David M.",25943999700
David M. Levy,"Levy, David M.",26643593100
David Mandy,"Mandy, David M.",6603158981
David McClain,"McClain, David",16473294300
David McKenzie,"McKenzie, David J. J.",7202304945
David Meltzer,"Meltzer, David",7004705181
David Mushinski,"Mushinski, David W.",6507716785
David Myers,"Myers, Michael David",7402143233
David N. DeJong,"DeJong, David N.",7004045556
David N. Laband,"Laband, David N.",7003701346
David N. Weil,"Weil, David N.",7103234818
David Neumark,"Neumark, David",57203256449
David Nickerson,"Nickerson, David B.",8945171400
David Norman,"Norman, David W.",7201792249
David P. Baron,"Baron, David P.",7201989383
David Papell,"Papell, David H.",6603869817
David Pearce,"Pearce, David G.",7202580333
David Porter,"Porter, David P",7401830550
David R. Kamerschen,"Kamerschen, David R.",6603605391
David R. Lee,"Lee, David R.",7406667654
David R. Schmidt,"Schmidt, David R.",55183395400
David R. Stockman,"Stockman, David R.",6701762673
David Reiley,"Reiley, David H.",8636660100
David Romer,"Romer, David H.",7004409567
David Runkle,"Runkle, David E.",6603954141
David Russell Schmidt,"Schmidt, David R.",55183395400
David S Lee,"Lee, David S.",55698907900
David S. Kraybill,"Kraybill, David Simon",6602110792
David S. Lee,"Lee, David S.",55698907900
David S. Sibley,"Sibley, David S.",7102143595
David Sahn,"Sahn, David E.",35885159600
David Salkever,"Salkever, David S.",7004310598
David Sappington,"Sappington, David E.M.",7004207810
David Sibley,"Sibley, David S.",7102143595
David Sjoquist,"Sjoquist, David L.",6603546353
David W. Holland,"Holland, David W.",7202290200
David W. Price,"Price, David W.",7403719467
David W. Rasmussen,"Rasmussen, David W.",57213694758
David W. Scott,"Scott, David W.",57218960664
David Weil,"Weil, David N.",7103234818
David Weiman,"Weiman, David F.",7003868610
David Weinstein,"Weinstein, David E.",7102920169
David Zilberman,"Zilberman, David D.",35578894000
Davis,"Davis, Lance E.",8411261100
Dean Corbae,"Corbae, Dean P.",6602897563
Dean H. Gatzlaff,"Gatzlaff, Dean H.",6602264178
Dean James,"Dean, James M.",57189174482
Debashis Pal,"Pal, Debashis",7201701200
Debasri Mukherjee,"Mukherjee, Debasri",16425949200
Deborah Minehart,"Minehart, Deborah F.",6602281565
Deborah Swenson,"Swenson, Deborah L.",7102254371
Debra S. Dwyer,"Dwyer, Debra Sabatini",7201792015
Debraj Ray,"Ray, Debraj",7202181658
Deepak K. Lal,"Lal, Deepak",7006125794
Denis Bolduc,"Bolduc, Denis",6701859264
Denis Gromb,"Gromb, Denis",6602659594
Denise Eby Konan,"Konan, Denise Eby",35608181600
Denise Konan,"Konan, Denise Eby",35608181600
Dennis Carlton,"Carlton, Dennis W.",14419920600
Dennis Epple,"Epple, Dennis N.",6701460925
Dennis Heffley,"Heffley, Dennis R.",6603457677
Dennis Jansen,"Jansen, Dennis W.",7103097151
Dennis Lasser,"Lasser, Dennis J.",6701368935
Dennis R. Heffley,"Heffley, Dennis R.",6603457677
Dennis T. Yang,"Yang, Dennis Tao",7404802174
Dennis Tao Yang,"Yang, Dennis Tao",7404802174
Dennis W. Jansen,"Jansen, Dennis W.",7103097151
Dennis Yang,"Yang, Dennis Tao",7404802174
Derek Neal,"Neal, Derek A.",7201588970
Dermot Hayes,"Hayes, Dermot J.",7403287725
Dermot J. Hayes,"Hayes, Dermot J.",7403287725
Dermot James Hayes,"Hayes, Dermot J.",7403287725
Derrick Reagle,"Reagle, Derrick P.",6506236651
Devashish Mitra,"Mitra, Devashish",7203049743
Dhinu Srinivasan,"Srinivasan, Dhinu",56212006800
Diego Comin,"Comin, Diego A.",57202912413
Diego Puga,"Puga, Diego",6602734837
Dilip B. Madan,"Madan, Dilip B.",7003372814
Dilip Mookherjee,"Mookherjee, Dilip",24317720600
Dimitri Vayanos,"Vayanos, Dimitri",6603289042
Dimitrios Vayanos,"Vayanos, Dimitri",6603289042
Dimitris N. Politis,"Politis, Dimitris Nicolas",7006361970
Dirk Bergemann,"Bergemann, Dirk",6602238547
Dirk Krueger,"Krueger, Dirk",8074882100
Djavad Salehi-Isfahani,"Salehi-Isfahani, Djavad",6602695360
Djavad Salehi-Ishfahani,"Salehi-Isfahani, Djavad",6602695360
Dominic Parker,"Parker, Dominic P.",7403381650
Dominick Salvatore,"Salvatore, Dominick",7006485946
Don Coursey,"Coursey, Don L.",6603381467
Don E. Schlagenhauf,"Schlagenhauf, Don E.",7801387638
Don Edward Schlagenhauf,"Schlagenhauf, Don E.",7801387638
Don Fullerton,"Fullerton, Don",7102594487
Don Heller,"Heller, Donald E.",8691287200
Don Larson,"Larson, Donald W.",8865091700
Don Moser,"Moser, Donald V.",7101785562
Don Schlagenhauf,"Schlagenhauf, Don E.",7801387638
Don Waldman,"Waldman, Donald M.",7006877280
Donald A. Nichols,"Nichols, Donald A.",7202617816
Donald Andrews,"Andrews, Donald W.K.",7202676441
Donald B. Hausch,"Hausch, Donald B.",6603088381
Donald Brown,"Brown, Donald J.",56122021600
Donald C. Keenan,"Keenan, Donald C.",7006496577
Donald D. Hester,"Hester, Donald D.",7004921175
Donald Davis,"Davis, Donald R.",35247685600
Donald Deere,"Deere, Donald R.",24760076900
Donald G. McCloud,"McCloud, Donald G.",57201613342
Donald G. Saari,"Saari, Donald G.",7004386298
Donald H. Dutkowsky,"Dutkowsky, Donald H.",6602220518
Donald Haurin,"Haurin, Donald R.",6603797646
Donald Hester,"Hester, Donald D.",7004921175
Donald J. Smith,"Smith, Donald J.",55722901900
Donald Keenan,"Keenan, Donald C.",7006496577
Donald Kenkel,"Kenkel, Donald S.",6701531050
Donald Lien,"Lien, Da Hsiang Donald",7006094582
Donald Liu,"Liu, Donald J.",7410100465
Donald R. Deere,"Deere, Donald R.",24760076900
Donald V. Moser,"Moser, Donald V.",7101785562
Donald Vitaliano,"Vitaliano, Donald F.",6603231686
Donald W. K. Andrews,"Andrews, Donald W.K.",7202676441
Donald W. Larson,"Larson, Donald W.",8865091700
Donald Waldman,"Waldman, Donald M.",7006877280
Donald Wittman,"Wittman, Donald A.",23029469600
Dong Li,"Li, Dong",15048208500
Donghoon Lee,"Lee, Donghoon",57219040030
Donna Gilleskie,"Gilleskie, Donna B.",6603210951
Doug DeJong,"DeJong, Douglas V.",7004045558
Douglas A. Boyd,"Boyd, Douglas A.",14422228600
Douglas A. Schuler,"Schuler, Douglas A.",7102453197
Douglas Bernheim,"Bernheim, B. Douglas",6701894742
Douglas C. Dacy,"Dacy, Douglas C.",6507070763
Douglas D. Southgate,"Southgate, Douglas D.",7005283220
Douglas Dacy,"Dacy, Douglas C.",6507070763
Douglas Diamond,"Diamond, Douglas W.",7102619783
Douglas G. Baird,"Baird, Douglas G.",7202709634
Douglas G. Steigerwald,"Steigerwald, Douglas G.",7003868761
Douglas Gale,"Gale, Douglas M.",7102730996
Douglas Graham,"Graham, Douglas H.",55916135700
Douglas H. Graham,"Graham, Douglas H.",55916135700
Douglas Holtz-Eakin,"Holtz-Eakin, Douglas",6701529245
Douglas J. Holtz-Eakin,"Holtz-Eakin, Douglas",6701529245
Douglas Laycock,"Laycock, Douglas",6603794704
Douglas Meade,"Meade, Douglas S.",55336508500
Douglas Nyhus,"Nyhus, Douglas E.",6506323909
Douglas Steigerwald,"Steigerwald, Douglas G.",7003868761
Douglas V. DeJong,"DeJong, Douglas V.",7004045558
Douglas W. Diamond,"Diamond, Douglas W.",7102619783
Douglas W. Mitchell,"Mitchell, Douglas W.",7403871158
Douglas Waldo,"Waldo, Douglas G.",7003758093
Douglass C. North,"North, Douglass C.",7102197724
Drew Dahl,"Dahl, Drew D.",7102695937
Drew Fudenberg,"Fudenberg, Drew K.",6604061536
Duane Leigh,"Leigh, Duane E.",7102043962
Dudley Poston,"Poston, Dudley L.",7004635998
Duncan Black,"Black, Duncan",16508524800
Duncan Foley,"Foley, Duncan K.",7103079149
Duncan James,"James, Duncan",7401733949
Duncan K. Foley,"Foley, Duncan K.",7103079149
Duncan Thomas,"Thomas, Duncan",36505307800
Dwayne Benjamin,"Benjamin, Dwayne",7202044988
Dwight Perkins,"Perkins, Dwight H.",7201695819
E C. H. Veendorp,"Veendorp, E. C.H.",16424242500
E Wayne Nafziger,"Nafziger, E. Wayne",6602844657
E. Han Kim,"Kim, E. Han",34770319100
E. K. Hunt,"Hunt, E. K.",9246059500
E. Philip Howrey,"Howrey, E. Philip",6506846175
E. Ray Canterbery,"Canterbery, E. Ray",6602336093
E. Wayne Nafziger,"Nafziger, E. Wayne",6602844657
Eckhard Janeba,"Janeba, Eckhard",6603050427
Ed Outslay,"Outslay, Edmund",6504581239
Ed Price,"Price, Edward O.",55825048200
Ed Vytlacil,"Vytlacil, Edward J.",6603176381
Edgar K. Browning,"Browning, Edgar K.",7003474741
Edgar O. Olsen,"Olsen, Edgar O.",7201962817
Edgar Olsen,"Olsen, Edgar O.",7201962817
Edi Karni,"Karni, Edi",7003923915
Edward C. Kokkelenberg,"Kokkelenberg, Edward C.",6505754212
Edward C. Prescott,"Prescott, Edward C.",7005790571
Edward E. Leamer,"Leamer, Edward E.",6603571634
Edward F. Buffie,"Buffie, Edward F.",6603543615
Edward Foster,"Foster, Edward",24530058300
Edward Glaeser,"Glaeser, Edward",7003688582
Edward Green,"Green, Sandy Edward",8786571300
Edward Greenberg,"Greenberg, Edward S.",7101820834
Edward J. Green,"Green, Edward J.",24495144300
Edward J. McCaffery,"McCaffery, Edward J.",6602880892
Edward J. Nell,"Nell, Edward J.",8549853700
Edward Jaenicke,"Jaenicke, Edward C.",6601999318
Edward Leamer,"Leamer, Edward E.",6603571634
Edward Ludwig Glaeser,"Glaeser, Edward",7003688582
Edward Morey,"Morey, Edward R.",7004644309
Edward N. Wolff,"Wolff, Edward Nathan",7202905604
Edward Nathan Wolff,"Wolff, Edward Nathan",7202905604
Edward Nell,"Nell, Edward J.",8549853700
Edward P. Lazear,"Lazear, Edward P.",6603061257
Edward Prescott,"Prescott, Edward C.",7005790571
Edward R. Mansfield,"Mansfield, Edward R.",7006199566
Edward R. Morey,"Morey, Edward R.",7004644309
Edward Schlee,"Schlee, Edward E.",6603222450
Edward Tower,"Tower, Edward",6701569106
Edward Vytlacil,"Vytlacil, Edward J.",6603176381
Edwin Burmeister,"Burmeister, Edwin",24456573500
Efe A. Ok,"Ok, Efe A.",7005643274
Ehrenberg,"Ehrenberg, Ronald G.",7004625566
Ehsan Choudhri,"Choudhri, Ehsan U.",6602569167
Eiichi Miyagawa,"Miyagawa, Eiichi",55987139300
Ekaterini Kyriazidou,"Kyriazidou, Ekaterini",6506030634
Elaina Rose,"Rose, Elaina",7202517790
Elaina Ross,"Rose, Elaina",7202517790
Eleanor Brown,"Brown, Eleanor P.",57010630800
Elena G. Irwin,"Irwin, Elena G.",7006460950
Elena Glinskaya,"Glinskaya, Elena",6507903383
Elhanan Helpman,"Helpman, Elhanan",6701825524
Eli Berman,"Berman, Eli",7103036986
Eli Zaretsky,"Zaretsky, Eli",16466464000
Eliakim Katz,"Katz, Eliakim",7202961086
Elias Dinopoulos,"Dinopoulos, Elias",6602899326
Elisabet Rutstrom,"Rutström, Elisabet E.",6507289902
Elisabeth Sadoulet,"Sadoulet, Élisabeth",7004197155
Elizabeth Asiedu,"Asiedu, Elizabeth",6602560972
Elizabeth Caucutt,"Caucutt, Elizabeth M.",6602662459
Elizabeth E. Davis,"Davis, Elizabeth E.",35434749600
Elizabeth Peters,"Peters, H. Elizabeth",55662835300
Elizabeth Powers,"Powers, Elizabeth T.",7101684069
Elizabeth T. Powers,"Powers, Elizabeth T.",7101684069
Elizabeth Wood,"Wood, Elizabeth Anne",57644343300
Ellen R. McGrattan,"McGrattan, Ellen R.",55942109100
Elmus Wicker,"Wicker, Elmus R.",6602630810
Elyas Elyasiani,"Elyasiani, Elyas",6603322574
Elyce J. Rotella,"Rotella, Elyce J.",6507192815
Elyce Rotella,"Rotella, Elyce J.",6507192815
Emmanuel Saez,"Saez, Emmanuel",7004587587
Ennio Stacchetti,"Stacchetti, Ennio",6507435372
Enrico Moretti,"Moretti, Enrico",7005593972
Enrico Spolaore,"Spolaore, Enrico",55892996300
Enrique G. Mendoza,"Mendoza, Enrique Gabriel",7006157135
Enrique Mendoza,"Mendoza, Enrique Gabriel",7006157135
Eric A. Hanushek,"Hanushek, Eric A.",7003582807
Eric Bond,"Bond, Eric W.",7005355519
Eric Crawford,"Crawford, Eric W.",7201680048
Eric D. Johnson,"Johnson, Eric",57199191630
Eric Iksoon Im,"Im, Eric Iksoon",57189536901
Eric Jacquier,"Jacquier, Éric",6602791798
Eric Leeper,"Leeper, Eric M.",57191402449
Eric M. Leeper,"Leeper, Eric M.",57191402449
Eric Maskin,"Maskin, Eric S.",6602103851
Eric O'N. Fisher,"Fisher, Eric O.N.",7401995818
Eric R. Young,"Young, Eric R.",16744833200
Eric S. Maskin,"Maskin, Eric S.",6602103851
Eric Van Wincoop,"van Wincoop, Eric",6604020003
Eric W. Bond,"Bond, Eric W.",7005355519
Eric W. Zivot,"Zivot, Eric W.",6603472607
Eric Zivot,"Zivot, Eric W.",6603472607
Erik Hurst,"Hurst, Erik Gerald",6701835571
Erik Thorbecke,"Thorbecke, Erik",6701362825
Ernest Betts,"Betts, Ernest S.",57194880454
Erwin A. Blackstone,"Blackstone, Erwin A.",7103167070
Erzo Luttmer,"Luttmer, Erzo F.P.",57203746458
Eskander Alvi,"Alvi, Eskander",6602350004
Esther C. Duflo,"Duflo, Esther",6602205596
Esther Duflo,"Duflo, Esther",6602205596
Esther Gal-Or,"Gal-Or, Esther",6603634202
Esther-Mirjam Sent,"Sent, Esther Mirjam",6602386332
Ethan Ligon,"Ligon, Ethan",6602743155
Eugene Canjels,"Canjels, Eugene",6507905506
Eugene Canjets,"Canjels, Eugene",6507905506
Eugene Jones,"Jones, Eugene",7404236271
Eugene Smolensky,"Smolensky, Eugene",55333425500
Eugenia Toma,"Toma, Eugenia Froedge",35831274400
Eugenio J. Miravete,"Miravete, Eugenio J.",6603481581
Eun-Sok Kim,"Kim, Eunsok",34769795100
Evangelos M. Falaris,"Falaris, Evangelos M.",6603108342
Evangelos O. Simos,"Simos, Evangelos O.",16493637000
Evangelous Falaris,"Falaris, Evangelos M.",6603108342
Everett Peterson,"Peterson, Everett B.",7402393146
F Gregory Hayden,"Hayden, F. Gregory",36003861800
"F J. Chaloupka, IV","Chaloupka, Frank J.",7004494669
Fabio Ghironi,"Ghironi, Fabio",6506962565
Fabio Schiantarelli,"Schiantarelli, Fabio",6603659971
Fabrizio Perri,"Perri, Fabrizio",7005662111
Fahad A. Khalil,"Khalil, Fahad",7003507242
Fahad Khalil,"Khalil, Fahad",7003507242
Faik Koray,"Koray, Faik",6601990137
Faruk Gul,"Gul, Faruk",6701474154
Fawzi Emad,"Emad, Fawzi P.",6603610443
Federick Dark,"Dark, Frederick H.",24423802100
Felix K. Rioja,"Rioja, Felix K.",6602515085
Felix Moos,"Moos, Felix",57190899508
Fernando Alvarez,"Álvarez, Fernando E.",36781806900
Fernando Broner,"Broner, Fernando",6506529436
Fernando E. Alvarez,"Álvarez, Fernando E.",36781806900
Finis R. Welch,"Welch, Finis R.",7004640479
Finis Welch,"Welch, Finis R.",7004640479
Finn E. Kydland,"Kydland, Finn E.",6603150991
Finn Kydland,"Kydland, Finn E.",6603150991
Fiona Scott Morton,"Scott-Morton, Fiona",57203573011
Firouz Gahvari,"Gahvari, Firouz",6701353034
Ford Runge,"Runge, Carlisle Ford",23393495600
Frances Woolley,"Woolley, Frances R.",7003622493
Francesco Caselli,"Caselli, Francesco",7004020982
Francine Blau,"Blau, Francine D.",7004255822
Francine Lafontaine,"Lafontaine, Francine",6603589746
Francis X. Diebold,"Diebold, Francis X.",23166985700
Francisco M. Gonzalez,"Gonzalez, Francisco M.",7401692476
Francisco R. Rodriguez,"Rodríguez, Francisco R.",7402202986
Francisco Rivera Batiz,"Rivera-Batiz, Francisco L.",6701630810
Frank A. Sloan,"Sloan, Frank A.",7102421705
Frank A. Wolak,"Wolak, Frank A.",6701482228
Frank Chaloupka,"Chaloupka, Frank J.",7004494669
Frank Giarratani,"Giarratani, Frank",6602769709
Frank Gollop,"Gollop, Frank M.",6603176728
Frank M. Gollop,"Gollop, Frank M.",6603176728
Frank Milne,"Milne, Frank",7004337487
Frank Page,"Page, Frank H.",56264188800
Frank Puffer,"Puffer, Frank W.",6603159878
Frank R. Gunter,"Gunter, Frank R.",6603320837
Frank S. T. Hsiao,"Hsiao, Frank S.T.",7006744643
Frank Schorfheide,"Schorfheide, Frank",6602884539
Frank Scott,"Scott, Frank A.",57203627821
Frank Sloan,"Sloan, Frank A.",7102421705
Frank Steindl,"Steindl, Frank G.",7003823546
Frank Vella,"Vella, Francis",7006315877
Frank Wolak,"Wolak, Frank A.",6701482228
Franklin Allen,"Allen, Franklin",7102515412
Franklin M. Fisher,"Fisher, Franklin M.",55726410700
Franklin R. Edwards,"Edwards, Franklin R.",7102855718
Fred C. Graham,"Graham, Fred C.",36860440200
Fred Graham,"Graham, Fred C.",36860440200
Fred Kaen,"Kaen, Fred R.",6506890667
Fred L. Joutz,"Joutz, Frederick L.",6603813302
Fred S. Inaba,"Inaba, Frederick S.",6603707090
Fred Sterbenz,"Sterbenz, Frederic P.",6507224425
Frederic Mishkin,"Mishkin, Frederic S.",35293058900
Frederic P. Schoenberg,"Schoenberg, Frederic Paik",6602727230
Frederick L. Joutz,"Joutz, Frederick L.",6603813302
Frederick Mishkin,"Mishkin, Frederic S.",35293058900
Fwu-Ranq Chang,"Chang, Fwu Ranq",7403649122
G. Edward Schuh,"Schuh, G. Edward",7004013059
Gabriel Lozada,"Lozada, Gabriel A.",6602517960
Gabriel Rodriguez,"Rodríguez, Gabriel",7203006167
Gabriele Camera,"Camera, Gabriele",7006634390
Gaetano Antinolfi,"Antinolfi, Gaetano",6603391587
Gail A. Jensen,"Jensen, Gail A.",7201969595
Gail Jensen,"Jensen, Gail M.",7201969698
Gaines M. Foster,"Foster, Gaines M.",55957056600
Gale Johnson,"Johnson, D. Gale",57016910800
Gardner M. Brown Jr.,"Brown, Gardner Mallard",8751703900
Garth Mangum,"Mangum, Garth L.",6505974926
Garth Saloner,"Saloner, Garth",6507038812
Gary B. Gorton,"Gorton, Gary B.",7003433892
Gary Becker,"Becker, Gary S.",7401553445
Gary Biglaiser,"Biglaiser, Gary",6603846007
Gary Chamberlain,"Chamberlain, Gary E.",7103027457
Gary D. Hansen,"Hansen, Gary D.",7202191501
Gary D. Libecap,"Libecap, Gary D.",6602820213
Gary Fields,"Fields, Gary S.",7005777390
Gary Gorton,"Gorton, Gary B.",7003433892
Gary LaFree,"LaFree, Gary D.",6603360116
Gary M. Fournier,"Fournier, Gary M.",7102913158
Gary Miller,"Miller, Gary J.",7404980553
Gary Pisano,"Pisano, Gary Paul",7006165945
Gary R. Saxon-House,"Saxonhouse, Gary R.",6602650449
Gary R. Saxonhouse,"Saxonhouse, Gary R.",6602650449
Gary R. Solon,"Solon, Gary",6602267759
Gary Richardson,"Richardson, Gary",35511652100
Gary S. Becker,"Becker, Gary S.",7401553445
Gary Saxonhouse,"Saxonhouse, Gary R.",6602650449
Gary Solon,"Solon, Gary",6602267759
Gary V. Engelhardt,"Engelhardt, Gary V.",7102655174
Gautam Battacharya,"Bhattacharya, Gautam",36851913200
Gautam Bhattacharya,"Bhattacharya, Gautam",36851913200
Gautam Gowrisankaran,"Gowrisankaran, Gautam",6602906288
Gautam Tripathi,"Tripathi, Gautam",7004818969
Gavin Wright,"Wright, Gavin",7402848561
Geert Bekaert,"Bekaert, Geert",7004114269
Geert Ridder,"Ridder, Geert",7006874051
Gene Fisher,"Fisher, Gene A.",7402440309
Gene Grossman,"Grossman, Gene M.",7102260431
Gene M. Grossman,"Grossman, Gene M.",7102260431
Gene Mumy,"Mumy, Gene E.",8675236800
Gene Nelson,"Nelson, A. Gene",57190922609
Gene Savin,"Savin, Nathan E.",6603910164
Geoffrey J. D. Hewings,"Hewings, Geoffrey John Dennis",7003728841
