adv,adv_scopus-name,adv_scopus
Andrew Horowitz,"Horowitz, Andrew W.",35996396300
Andrew J. Leone,"Leone, Andrew J.",7102613643
Andrew K. Rose,"Rose, Andrew K.",7201500230
Andrew M. McLennan,"McLennan, Andrew",7004499224
Andrew M. Weiss,"Weiss, Andrew M.",55439615500
Andrew Mason,"Mason, Andrew D.",36007459400
Andrew McLennan,"McLennan, Andrew",7004499224
Andrew Newman,"Newman, Andrew F.",7201587289
Andrew Postlewaite,"Postlewaite, Andrew W.",6602393029
Andrew Reschovsky,"Reschovsky, Andrew",7801332695
Andrew Rose,"Rose, Andrew K.",7201500230
Andrew Schotter,"Schotter, Andrew",6602431557
Andrew Sumner,"Sumner, Andy",24779180000
Andrew W. Horowitz,"Horowitz, Andrew W.",35996396300
Andrzej Skrzypacz,"Skrzypacz, Andrzej",6508227011
Andy McLennan,"McLennan, Andrew",7004499224
Andy Muller,"Muller, R. Andrew",57108800200
Andy Naranjo,"Naranjo, Andy",7003297409
Angela Lyons,"Lyons, Angela Christine",7102912742
Angelo Melino,"Melino, Angelo",6506934372
Angus Deaton,"Deaton, Angus S.",55939990800
Anil B. Deolalikar,"Deolalikar, Anil B.",6603673032
Anil Deolalikar,"Deolalikar, Anil B.",6603673032
Anil K Kashyap,"Kashyap, Anil K.",7101878064
Anil K. Bera,"Bera, Anil Kumar",7005611791
Anil K. Makhija,"Makhija, Anil K.",6602626183
Anil Kashyap,"Kashyap, Anil K.",7101878064
Anil Kumar Bera,"Bera, Anil Kumar",7005611791
Ann Harrison,"Harrison, Ann E.",7401691878
Ann M. McGuirk,"McGuirk, Anne",7801327161
Ann Paulson,"Paulson, Jo Ann",57190731943
Ann Stevens,"Stevens, Ann Huff",7202107374
Anna-Maria Herrera,"Herrera, Ana María",36762783500
Anne C. Case,"Case, Anne C.",7006281660
Anne Case,"Case, Anne C.",7006281660
Anne Krueger,"Krueger, Anne O.",7102924995
Anne L. Sweaney,"Sweaney, Anne L.",6507932927
Anne O. Krueger,"Krueger, Anne O.",7102924995
Anne P. Villamil,"Villamil, Anne P.",6701876850
Anne Royalty,"Royalty, Anne Beeson",6602281049
Anne Van den Nouweland,"van den Nouweland, Anne",6603398170
Anne Villamil,"Villamil, Anne P.",6701876850
Annette Jorgenson,"Vissing-Jørgensen, Annette",6506433914
Annette Poulsen,"Poulsen, Annette B.",7006845531
Annette Vissing-Jorgensen,"Vissing-Jørgensen, Annette",6506433914
Annette Vissing-Jørgensen,"Vissing-Jørgensen, Annette",6506433914
Anthony A. Smith Jr.,"Smith, Anthony A.",55498582600
Anthony Lynch,"Lynch, Anthony W.",7102636841
Anthony Smith,"Smith, Anthony A.",55498582600
Antonio Bernardo,"Bernardo, Antonio E.",7006078226
Antonio E. Bernardo,"Bernardo, Antonio E.",7006078226
Antonio M Merlo,"Merlo, Antonio",7004871325
Antonio Merlo,"Merlo, Antonio",7004871325
Antonio Rangel,"Rangel, Antonio",55197210600
Anwar Shaikh,"Shaikh, Anwar",7101736542
Anya McGuirk,"McGuirk, Anya M.",7801327160
Aprajit Mahajan,"Mahajan, Aprajit",16199917300
April Franco,"Franco, April Mitchell",8749575800
Archibald Ritter,"Ritter, Archibald R.M.",8043059000
Ardeshir Dalal,"Dalal, Ardeshir J.",7004703197
Ardeshir J. Dalal,"Dalal, Ardeshir J.",7004703197
Ardeshir Sepehri,"Sepehri, Ardeshir",6602003332
Ariel Pakes,"Pakes, Ariél",7004264968
Arik Levinson,"Levinson, Arik",7103089822
Arik M. Levinson,"Levinson, Arik",7103089822
Aris Spanos,"Spanos, Aris",8581721900
Arlington W. Williams,"Williams, Arlington W.",7405839397
Arman Mansoorian,"Mansoorian, Arman",6602225622
Armen Alchian,"Alchian, Armen A.",35454496200
Arne Hallam,"Hallam, J. Arne",7006046725
Arnold C. Harberger,"Harberger, Arnold C.",6602498789
Arthur A. Snow,"Snow, Arthur",7103019950
Arthur Denzau,"Denzau, Arthur T.",6506501442
Arthur John Robson,"Robson, Arthur J.",7102089902
