node,first_ev-w_mean,first_ev-w-win99_mean,first_ev-w-std_mean,first_ev-w-win99-std_mean,first_deg_mean,second_ev-w_mean,second_ev-w-win99_mean,second_ev-w-std_mean,second_ev-w-win99-std_mean,second_deg_mean,first_dec,second_dec,third_dec,adv_ev-w,adv_ev-w-win99,adv_ev-w-std,adv_ev-w-win99-std,adv_deg,adv_ev-w_d,adv_ev-w-win99_d,adv_ev-w-std_d,adv_ev-w-win99-std_d
10339832500,3.3285767835755504e-08,3.3285767835755504e-08,-0.047563359260166804,-0.14624681063606906,8.833333333333334,2.657172799078599e-07,2.657172799078599e-07,-0.047514703876977586,-0.11573776132409799,11.428571428571429,0,0,0,3.3036853383098294e-09,3.3036853383098294e-09,-0.047568545076666094,-0.15017918256995466,7,3.2572579418596587e-09,3.2572579418596587e-09,-0.04757924266639786,-0.14990255847046538
11541201900,1.5132495861893755e-08,1.5132495861893755e-08,-0.04756661409805937,-0.14862805081952488,5.0,2.8635805195474644e-08,2.8635805195474644e-08,-0.047563787389319684,-0.14685557123556003,9.1,0,0,0,7.071490249475395e-10,7.071490249475395e-10,-0.04756908862754341,-0.15052001646958152,2,6.92158105901836e-10,6.92158105901836e-10,-0.04757977950776475,-0.1502396387382696
11639185900,9.145389399665885e-07,9.145389399665885e-07,-0.04737833368514775,-0.03056764768132984,7.8,1.3513488521717339e-06,1.3513488521717339e-06,-0.04728689429309195,0.026769210902785223,9.435897435897436,0,0,0,2.5286989655278446e-07,2.5286989655278446e-07,-0.047516301658248904,-0.11741991610193273,5,2.389484416287645e-07,2.389484416287645e-07,-0.04752991562834646,-0.1189303342308572
12772232000,8.565132144007542e-08,8.565132144007542e-08,-0.04755185131683125,-0.13937110343113213,8.9,7.073423916454425e-07,7.073423916454425e-07,-0.047421709916818613,-0.05776631433839748,10.180555555555555,0,0,0,3.7156749645138716e-08,3.7156749645138716e-08,-0.04756145838093641,-0.1457354658144303,10,3.664414507925356e-08,3.664414507925356e-08,-0.04757225523383257,-0.14551518114516193
12794227800,1.099510801634198e-07,1.099510801634198e-07,-0.04754730739350357,-0.13618159977792435,10.133333333333333,1.867300934367478e-07,1.867300934367478e-07,-0.04753123507922137,-0.126103558566147,7.688888888888889,0,0,0,1.0316573990783187e-07,1.0316573990783187e-07,-0.047547640263167955,-0.13707080688172613,16,1.0262849183799086e-07,1.0262849183799086e-07,-0.047558445585408525,-0.13684416531781335
13004984200,1.98343500706699e-09,1.98343500706699e-09,-0.04757154765524368,-0.1503602325165235,8.285714285714286,1.0612258984493384e-08,1.0612258984493384e-08,-0.0475697414269845,-0.1492276673497132,8.0,0,0,0,4.5301488633132503e-10,4.5301488633132503e-10,-0.04756914182719762,-0.15055337534426666,11,4.4835682512635035e-10,4.4835682512635035e-10,-0.04757983053213853,-0.15027167671194325
13007744200,1.975803210338598e-10,1.975803210338598e-10,-0.04756974049891534,-0.1505884511459529,9.0,5.768695586903236e-10,5.768695586903236e-10,-0.0475696611005859,-0.15053866465191626,4.5,0,0,0,1.7499997079833113e-11,1.7499997079833113e-11,-0.047569232996536905,-0.15061054313247946,2,1.7471155756791068e-11,1.7471155756791068e-11,-0.04757992071079297,-0.15032829948146983
13204605100,1.700995136634692e-07,1.700995136634692e-07,-0.04753471877190457,-0.12828803359478289,15.0,3.9349419493645393e-07,3.9349419493645393e-07,-0.04748795508774502,-0.09896516001968247,10.201680672268907,0,0,0,5.2010562813962056e-08,5.2010562813962056e-08,-0.04755834892965014,-0.14378568254330665,10,5.054301557759291e-08,5.054301557759291e-08,-0.04756934638462058,-0.14368872787263015
13604847500,1.783733924768812e-07,1.783733924768812e-07,-0.047532442087045323,-0.12720058969653547,3.5,3.788950291405891e-06,3.788950291405891e-06,-0.04677662371516443,0.3467331459356792,14.142857142857142,0,0,0,1.0625638499875715e-08,1.0625638499875715e-08,-0.047567012321647735,-0.14921806762767598,4,1.0596851035371978e-08,1.0596851035371978e-08,-0.0475777065869309,-0.14893806111607252
13606852000,1.289323038914972e-07,1.289323038914972e-07,-0.04754333730019645,-0.13369216262101882,4.0,1.5548689780789012e-07,1.5548689780789012e-07,-0.047537778570526296,-0.13020659648675278,10.833333333333334,0,0,0,8.440075802256061e-09,8.440075802256061e-09,-0.04756746984058002,-0.14950495514520276,4,8.416627926189407e-09,8.416627926189407e-09,-0.04757816287870467,-0.1492245646584353
