node,first_ev-w_mean,first_ev-w-win99_mean,first_ev-w-std_mean,first_ev-w-win99-std_mean,first_deg_mean,second_ev-w_mean,second_ev-w-win99_mean,second_ev-w-std_mean,second_ev-w-win99-std_mean,second_deg_mean,first_dec,second_dec,third_dec,adv_ev-w,adv_ev-w-win99,adv_ev-w-std,adv_ev-w-win99-std,adv_deg,adv_ev-w_d,adv_ev-w-win99_d,adv_ev-w-std_d,adv_ev-w-win99-std_d
10339832500,3.2437684985401445e-08,3.2437684985401445e-08,-0.042986857624223065,-0.14986212585042927,9.4,2.546989877310656e-07,2.546989877310656e-07,-0.04294208431494741,-0.13427001065053334,10.325581395348838,0,0,0,1.3324564021460176e-09,1.3324564021460176e-09,-0.04299206030168269,-0.15204572710743403,6,1.3180708944742998e-09,1.3180708944742998e-09,-0.043003730669336486,-0.1518826483394163
11541201900,6.062950083800122e-09,6.062950083800122e-09,-0.04299163900199051,-0.15171309559475527,5.0,2.5138580990810526e-08,2.5138580990810526e-08,-0.04298779627437661,-0.15037478884370006,8.1,0,0,0,1.9184125140134432e-10,1.9184125140134432e-10,-0.042992290077953875,-0.15212575686001384,2,1.7914070132914504e-10,1.7914070132914504e-10,-0.04300396004114206,-0.15196244684892374
11639185900,4.368698989760951e-07,4.368698989760951e-07,-0.04290485323134213,-0.12148826935966772,6.8,1.3703964930183833e-06,1.3703964930183833e-06,-0.04271679714876435,-0.05599396442269481,9.529411764705882,0,0,0,8.218278970049165e-08,8.218278970049165e-08,-0.04297577304818007,-0.14637297046761719,5,7.490647722376394e-08,7.490647722376394e-08,-0.04298891052870728,-0.14672671764458894
12772232000,9.471455551295383e-08,9.471455551295383e-08,-0.04297378026465338,-0.1454934417011149,7.545454545454546,1.6233061254823354e-06,1.6233061254823354e-06,-0.042665850159228066,-0.03825062328177138,9.515625,0,0,0,1.6266631849580324e-08,1.6266631849580324e-08,-0.042989051820561563,-0.1509978904508181,11,1.621246036690075e-08,1.621246036690075e-08,-0.04300073105353315,-0.15083908123839823
12794227800,7.3216586054354e-08,7.3216586054354e-08,-0.04297917435975665,-0.14700096004736316,8.9375,4.12334809299463e-07,4.12334809299463e-07,-0.042910861712341195,-0.12321302508630394,7.469879518072289,0,0,1,2.7225896410154226e-08,2.7225896410154226e-08,-0.04298684408297016,-0.15022894815624405,18,2.696082641962158e-08,2.696082641962158e-08,-0.04299856641504754,-0.15008600295861482
13004984200,1.5644755197026874e-09,1.5644755197026874e-09,-0.04299414026378801,-0.1520264565669591,6.833333333333333,1.8680995593195535e-08,1.8680995593195535e-08,-0.04299069232052469,-0.15082589206219,6.833333333333333,0,0,0,1.1894579342893102e-10,1.1894579342893102e-10,-0.042992304762702285,-0.15213087147335377,9,1.1838143723163565e-10,1.1838143723163565e-10,-0.04300397227759185,-0.15196670391291495
13007744200,2.8751779820623174e-11,2.8751779820623174e-11,-0.04299285457459319,-0.1521364429909965,8.0,1.8438217495955858e-10,1.8438217495955858e-10,-0.04299282322332519,-0.15212552428485043,3.642857142857143,0,0,0,1.3868874709639139e-12,1.3868874709639139e-12,-0.042992328444876805,-0.15213911983841472,2,1.3864606421171217e-12,1.3864606421171217e-12,-0.043003995839482806,-0.1519749011007741
13204605100,2.3703569150290543e-07,2.3703569150290543e-07,-0.04294564171935424,-0.1355089541603302,14.777777777777779,7.196480777159062e-07,7.196480777159062e-07,-0.04284842212529747,-0.10165264079721348,9.555555555555555,0,0,0,5.471874324270359e-08,5.471874324270359e-08,-0.04298130566466559,-0.14829994894184004,10,5.433589048175712e-08,5.433589048175712e-08,-0.042993053287105634,-0.1481679843452038
13604847500,2.0422271008233154e-09,2.0422271008233154e-09,-0.04299298063275554,-0.1519944365020887,2.5,4.774952181641e-08,4.774952181641e-08,-0.04298377315121389,-0.1487879700797778,7.8,0,0,0,7.02346707758647e-11,7.02346707758647e-11,-0.04299231457553014,-0.15213428922481118,3,6.989372234964305e-11,6.989372234964305e-11,-0.04300398204264573,-0.15197010117764662
13606852000,3.003794552891954e-09,3.003794552891954e-09,-0.042993318619562265,-0.15192624106880137,6.0,4.854950675934704e-09,4.854950675934704e-09,-0.042992945719001696,-0.1517963890669231,9.333333333333334,0,0,0,4.316332379173851e-11,4.316332379173851e-11,-0.042992320029037544,-0.15213618865004652,3,4.2697699460838076e-11,4.2697699460838076e-11,-0.04300398751971615,-0.15197200665183994
